Topic,Characteristic,Note,Total
Family characteristics,  Total couple families,,31180
Family characteristics,    Married couples,,26430
Family characteristics,      With children,6,13975
Family characteristics,      Without children,,12455
Family characteristics,    Common-law couples,,4755
Family characteristics,      With children,6,1590
Family characteristics,      Without children,,3165
Family characteristics,  Total one-parent families,,5685
Family characteristics,    in which the parent is a woman+,,4530
Family characteristics,    in which the parent is a man+,,1155
Family characteristics,Total - Persons in private households - 100% data,,123505
Family characteristics,  Total - Persons in census families,,103945
Family characteristics,    Married spouses or common-law partners,,62360
Family characteristics,    Parents in one-parent families,,5685
Family characteristics,    Children,6,35900
Family characteristics,      In a two-parent family,,27555
Family characteristics,      In a one-parent family,,8340
Family characteristics,  Total - Persons not in census families in private households - 100% data,,19565
Family characteristics,    Living alone,,14480
Family characteristics,    Living with other relatives,7,2315
Family characteristics,    Living with non-relatives only,,2760
Household type,Total - Household type - 100% data,,51920
Household type,  One-census-family households without additional persons,,33525
Household type,    Couple-family households,,28865
Household type,      With children,6,14390
Household type,      Without children,,14475
Household type,    One-parent-family households,,4655
Household type,  Multigenerational households,8,1165
Household type,  Multiple-census-family households,9,240
Household type,  One-census-family households with additional persons,9,1125
Household type,  Two-or-more-person non-census-family households ,,1380
Household type,  One-person households,,14480
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,105190
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,102075
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,48000
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,102135
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,42400
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,94500
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,41600
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,73605
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,43600
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,91060
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,9000
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,8315
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5480
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,25475
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8000
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,105260
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,102105
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,66100
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,102160
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,52950
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,94635
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,61300
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,73600
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,61050
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,91250
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,10390
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,8235
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,6710
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,25295
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8880
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,105265
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,36665
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,77000
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,95200
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,27060
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,17800
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,31040
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100
Income of individuals in 2020,  Market income (%),18,86
Income of individuals in 2020,    Employment income (%),19,66.6
Income of individuals in 2020,  Government transfers (%),20,14
Income of individuals in 2020,    Employment insurance benefits (%),,0.8
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,3.8
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,3.3
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,105190
Income of individuals in 2020,  Without total income,,3115
Income of individuals in 2020,  With total income,,102075
Income of individuals in 2020,"    Under $10,000 (including loss)",,7600
Income of individuals in 2020,"    $10,000 to $19,999",,10330
Income of individuals in 2020,"    $20,000 to $29,999",,13605
Income of individuals in 2020,"    $30,000 to $39,999",,11370
Income of individuals in 2020,"    $40,000 to $49,999",,10185
Income of individuals in 2020,"    $50,000 to $59,999",,8880
Income of individuals in 2020,"    $60,000 to $69,999",,7420
Income of individuals in 2020,"    $70,000 to $79,999",,6095
Income of individuals in 2020,"    $80,000 to $89,999",,5005
Income of individuals in 2020,"    $90,000 to $99,999",,4230
Income of individuals in 2020,"    $100,000 and over",,17355
Income of individuals in 2020,"      $100,000 to $149,999",,10420
Income of individuals in 2020,"      $150,000 and over",,6940
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,105190
Income of individuals in 2020,  Without after-tax income,,3055
Income of individuals in 2020,  With after-tax income,,102130
Income of individuals in 2020,"    Under $10,000 (including loss)",,8170
Income of individuals in 2020,"    $10,000 to $19,999",,10890
Income of individuals in 2020,"    $20,000 to $29,999",,15290
Income of individuals in 2020,"    $30,000 to $39,999",,13600
Income of individuals in 2020,"    $40,000 to $49,999",,12200
Income of individuals in 2020,"    $50,000 to $59,999",,9940
Income of individuals in 2020,"    $60,000 to $69,999",,7870
Income of individuals in 2020,"    $70,000 to $79,999",,5985
Income of individuals in 2020,"    $80,000 to $89,999",,5060
Income of individuals in 2020,"    $90,000 to $99,999",,3310
Income of individuals in 2020,"    $100,000 and over",,9825
Income of individuals in 2020,"      $100,000 to $124,999",,4515
Income of individuals in 2020,"      $125,000 and over",,5310
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,105190
Income of individuals in 2020,  Without employment income,,31580
Income of individuals in 2020,  With employment income,,73610
Income of individuals in 2020,"    Under $5,000 (including loss)",,11405
Income of individuals in 2020,"    $5,000 to $9,999",,5355
Income of individuals in 2020,"    $10,000 to $19,999",,7430
Income of individuals in 2020,"    $20,000 to $29,999",,5455
Income of individuals in 2020,"    $30,000 to $39,999",,5155
Income of individuals in 2020,"    $40,000 to $49,999",,5265
Income of individuals in 2020,"    $50,000 to $59,999",,4975
Income of individuals in 2020,"    $60,000 to $69,999",,4590
Income of individuals in 2020,"    $70,000 to $79,999",,3875
Income of individuals in 2020,"    $80,000 to $89,999",,3500
Income of individuals in 2020,"    $90,000 to $99,999",,3365
Income of individuals in 2020,"    $100,000 and over",,13250
Income of individuals in 2020,"      $100,000 to $124,999",,5450
Income of individuals in 2020,"      $125,000 and over",,7800
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,105190
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,100535
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,46800
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,100560
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,41200
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,93830
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,42800
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,74285
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,44400
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,85820
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,2560
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,5360
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,5760
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,105260
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,100595
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,64600
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,100610
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,51300
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,93875
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,62400
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,74255
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,62050
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,86090
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,7510
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,5505
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7840
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,105265
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,36380
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,73000
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,91900
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,25750
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,24600
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,39160
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100
Income of individuals in 2019,  Market income (%),,90
Income of individuals in 2019,    Employment income (%),,70.8
Income of individuals in 2019,  Government transfers (%),,9.9
Income of individuals in 2019,    Employment insurance benefits (%),,0.7
Income of households in 2020,Total - Income statistics for private households - 100% data,26,51915
Income of households in 2020,  Median total income of household in 2020 ($),,101000
Income of households in 2020,  Median after-tax income of household in 2020 ($),,87000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,14480
Income of households in 2020,      Median total income of one-person households in 2020 ($),,50800
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,44800
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,37435
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,125000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,107000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,51950
Income of households in 2020,  Average total income of household in 2020 ($),,130000
Income of households in 2020,  Average after-tax income of household in 2020 ($),,104100
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,14525
Income of households in 2020,      Average total income of one-person households in 2020 ($),,64200
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,52450
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,37430
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,155400
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,124200
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,51915
Income of households in 2020,"  Under $5,000",,385
Income of households in 2020,"  $5,000 to $9,999",,180
Income of households in 2020,"  $10,000 to $14,999",,400
Income of households in 2020,"  $15,000 to $19,999",,550
Income of households in 2020,"  $20,000 to $24,999",,1330
Income of households in 2020,"  $25,000 to $29,999",,1485
Income of households in 2020,"  $30,000 to $34,999",,1270
Income of households in 2020,"  $35,000 to $39,999",,1460
Income of households in 2020,"  $40,000 to $44,999",,1610
Income of households in 2020,"  $45,000 to $49,999",,1570
Income of households in 2020,"  $50,000 to $59,999",,3295
Income of households in 2020,"  $60,000 to $69,999",,3255
Income of households in 2020,"  $70,000 to $79,999",,3110
Income of households in 2020,"  $80,000 to $89,999",,3040
Income of households in 2020,"  $90,000 to $99,999",,2875
Income of households in 2020,"  $100,000 and over",,26095
Income of households in 2020,"    $100,000 to $124,999",,6125
Income of households in 2020,"    $125,000 to $149,999",,4960
Income of households in 2020,"    $150,000 to $199,999",,6545
Income of households in 2020,"    $200,000 and over",,8480
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,51915
Income of households in 2020,"  Under $5,000",,475
Income of households in 2020,"  $5,000 to $9,999",,190
Income of households in 2020,"  $10,000 to $14,999",,420
Income of households in 2020,"  $15,000 to $19,999",,600
Income of households in 2020,"  $20,000 to $24,999",,1400
Income of households in 2020,"  $25,000 to $29,999",,1665
Income of households in 2020,"  $30,000 to $34,999",,1550
Income of households in 2020,"  $35,000 to $39,999",,1775
Income of households in 2020,"  $40,000 to $44,999",,1955
Income of households in 2020,"  $45,000 to $49,999",,1925
Income of households in 2020,"  $50,000 to $59,999",,3950
Income of households in 2020,"  $60,000 to $69,999",,3915
Income of households in 2020,"  $70,000 to $79,999",,3690
Income of households in 2020,"  $80,000 to $89,999",,3610
Income of households in 2020,"  $90,000 to $99,999",,3160
Income of households in 2020,"  $100,000 and over",,21620
Income of households in 2020,"    $100,000 to $124,999",,6785
Income of households in 2020,"    $125,000 to $149,999",,4800
Income of households in 2020,"    $150,000 and over",,10040
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,36545
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,125000
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,107000
Income of economic families in 2020,  Average family size of economic families,,2.9
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,14640
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,107000
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,92000
Income of economic families in 2020,  Average family size of couple-only economic families,,2
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,15675
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,164000
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,136000
Income of economic families in 2020,  Average family size of couple-with-children economic families,,3.9
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,5330
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,83000
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,74500
Income of economic families in 2020,  Average family size of one-parent economic families,,2.6
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,17245
Income of economic families in 2020,  Median total income in 2020 ($),30,48400
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,42800
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,36550
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,155600
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,124000
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,14690
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,135200
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,108900
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,15660
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,195200
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,152600
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,5300
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,97600
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,83400
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,17295
Income of economic families in 2020,  Average total income in 2020 ($),30,61600
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,50560
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,123505
Low income and income inequality in 2020,  0 to 17 years,,22200
Low income and income inequality in 2020,    0 to 5 years,,7050
Low income and income inequality in 2020,  18 to 64 years,,72930
Low income and income inequality in 2020,  65 years and over,,28375
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,8305
Low income and income inequality in 2020,  0 to 17 years,,1550
Low income and income inequality in 2020,    0 to 5 years,,490
Low income and income inequality in 2020,  18 to 64 years,,4340
Low income and income inequality in 2020,  65 years and over,,2410
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,6.7
Low income and income inequality in 2020,  0 to 17 years (%),,7
Low income and income inequality in 2020,    0 to 5 years (%),,7
Low income and income inequality in 2020,  18 to 64 years (%),,6
Low income and income inequality in 2020,  65 years and over (%),,8.5
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,123505
Low income and income inequality in 2020,  0 to 17 years,,22200
Low income and income inequality in 2020,    0 to 5 years,,7045
Low income and income inequality in 2020,  18 to 64 years,,72930
Low income and income inequality in 2020,  65 years and over,,28375
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,4650
Low income and income inequality in 2020,  0 to 17 years,,825
Low income and income inequality in 2020,    0 to 5 years,,245
Low income and income inequality in 2020,  18 to 64 years,,3055
Low income and income inequality in 2020,  65 years and over,,775
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,3.8
Low income and income inequality in 2020,  0 to 17 years (%),,3.7
Low income and income inequality in 2020,    0 to 5 years (%),,3.4
Low income and income inequality in 2020,  18 to 64 years (%),,4.2
Low income and income inequality in 2020,  65 years and over (%),,2.7
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,123505
Low income and income inequality in 2020,  In bottom half of the distribution,,44630
Low income and income inequality in 2020,    In bottom decile,,7065
Low income and income inequality in 2020,    In second decile,,8265
Low income and income inequality in 2020,    In third decile,,8835
Low income and income inequality in 2020,    In fourth decile,,9860
Low income and income inequality in 2020,    In fifth decile,,10595
Low income and income inequality in 2020,  In top half of the distribution,,78880
Low income and income inequality in 2020,    In sixth decile,,11865
Low income and income inequality in 2020,    In seventh decile,,13130
Low income and income inequality in 2020,    In eighth decile,,14645
Low income and income inequality in 2020,    In ninth decile,,17125
Low income and income inequality in 2020,    In top decile,,22110
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,123505
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.358
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.447
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.305
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3.8
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,123945
Knowledge of official languages,  English only,,112560
Knowledge of official languages,  French only,,60
Knowledge of official languages,  English and French,,10345
Knowledge of official languages,  Neither English nor French,,980
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,123945
First official language spoken,  English,,120705
First official language spoken,  French,,1815
First official language spoken,  English and French,,500
First official language spoken,  Neither English nor French,,935
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,123945
Mother tongue,  Single responses,,120220
Mother tongue,    Official languages,,99750
Mother tongue,      English,,97945
Mother tongue,      French,,1800
Mother tongue,    Non-official languages,,20470
Mother tongue,      Indigenous languages,39,5
Mother tongue,        Algonquian languages,,5
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Innu languages,,0
Mother tongue,            Atikamekw,,0
Mother tongue,            Cree languages,,0
Mother tongue,              Ililimowin (Moose Cree),,0
Mother tongue,              Inu Ayimun (Southern East Cree),,0
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0
Mother tongue,              Nehinawewin (Swampy Cree),,0
Mother tongue,              Nehiyawewin (Plains Cree),,0
Mother tongue,              Nihithawiwin (Woods Cree),,0
Mother tongue,"              Cree, n.o.s.",,0
Mother tongue,            Innu (Montagnais),,0
Mother tongue,            Naskapi,,0
Mother tongue,          Eastern Algonquian languages,,0
Mother tongue,            Mi'kmaq,,0
Mother tongue,            Wolastoqewi (Malecite),,0
Mother tongue,          Ojibway-Potawatomi languages,,5
Mother tongue,            Anicinabemowin (Algonquin),,0
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ojibway languages,,5
Mother tongue,              Anishinaabemowin (Chippewa),,0
Mother tongue,              Daawaamwin (Odawa),,0
Mother tongue,              Saulteau (Western Ojibway),,0
Mother tongue,"              Ojibway, n.o.s.",,0
Mother tongue,"          Algonquian languages, n.i.e.",,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Dakelh (Carrier),,0
Mother tongue,            Dane-zaa (Beaver),,0
Mother tongue,"            Dene, n.o.s.",,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0
Mother tongue,              Satuotine Yati (North Slavey),,0
Mother tongue,"              Slavey, n.o.s.",,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tlicho (Dogrib),,0
Mother tongue,            Tse'khene (Sekani),,0
Mother tongue,            Tsilhqot'in (Chilcotin),,0
Mother tongue,            Tsuu T'ina (Sarsi),,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,"              Tutchone, n.o.s.",,0
Mother tongue,            Wetsuwet'en-Babine,,0
Mother tongue,          Tlingit,,0
Mother tongue,"          Athabaskan languages, n.i.e.",,0
Mother tongue,        Haida,,0
Mother tongue,        Inuktut (Inuit) languages,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,            Inuinnaqtun,,0
Mother tongue,            Inuvialuktun,,0
Mother tongue,          Inuktitut,,0
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0
Mother tongue,        Iroquoian languages,,0
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,0
Mother tongue,          Oneida,,0
Mother tongue,"          Iroquoian languages, n.i.e.",,0
Mother tongue,        Ktunaxa (Kutenai),,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Ntlakapamux (Thompson),,0
Mother tongue,          Secwepemctsin (Shuswap),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Syilx (Okanagan),,0
Mother tongue,"          Salish languages, n.i.e.",,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Assiniboine,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,"          Siouan languages, n.i.e.",,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwak'wala (Kwakiutl),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,"          Wakashan languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.o.s.",,0
Mother tongue,      Non-Indigenous languages,,20470
