Topic,Characteristic,Note,Total,
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,6300,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,187375,
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9660,
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,603590,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,200090,
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,66500,
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,82300,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,156125,
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,16600,
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,27320,
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100,
Income of individuals in 2020,  Market income (%),18,83,
Income of individuals in 2020,    Employment income (%),19,70.6,
Income of individuals in 2020,  Government transfers (%),20,17,
Income of individuals in 2020,    Employment insurance benefits (%),,1.1,
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,6.5,
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,5.9,
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,603590,
Income of individuals in 2020,  Without total income,,32255,
Income of individuals in 2020,  With total income,,571340,
Income of individuals in 2020,"    Under $10,000 (including loss)",,59240,
Income of individuals in 2020,"    $10,000 to $19,999",,72465,
Income of individuals in 2020,"    $20,000 to $29,999",,91495,
Income of individuals in 2020,"    $30,000 to $39,999",,68405,
Income of individuals in 2020,"    $40,000 to $49,999",,56785,
Income of individuals in 2020,"    $50,000 to $59,999",,47345,
Income of individuals in 2020,"    $60,000 to $69,999",,37410,
Income of individuals in 2020,"    $70,000 to $79,999",,29075,
Income of individuals in 2020,"    $80,000 to $89,999",,23260,
Income of individuals in 2020,"    $90,000 to $99,999",,18555,
Income of individuals in 2020,"    $100,000 and over",,67295,
Income of individuals in 2020,"      $100,000 to $149,999",,45390,
Income of individuals in 2020,"      $150,000 and over",,21910,
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,603590,
Income of individuals in 2020,  Without after-tax income,,31970,
Income of individuals in 2020,  With after-tax income,,571625,
Income of individuals in 2020,"    Under $10,000 (including loss)",,61165,
Income of individuals in 2020,"    $10,000 to $19,999",,75560,
Income of individuals in 2020,"    $20,000 to $29,999",,101790,
Income of individuals in 2020,"    $30,000 to $39,999",,79410,
Income of individuals in 2020,"    $40,000 to $49,999",,66680,
Income of individuals in 2020,"    $50,000 to $59,999",,51360,
Income of individuals in 2020,"    $60,000 to $69,999",,37625,
Income of individuals in 2020,"    $70,000 to $79,999",,27845,
Income of individuals in 2020,"    $80,000 to $89,999",,22560,
Income of individuals in 2020,"    $90,000 to $99,999",,13935,
Income of individuals in 2020,"    $100,000 and over",,33685,
Income of individuals in 2020,"      $100,000 to $124,999",,17235,
Income of individuals in 2020,"      $125,000 and over",,16455,
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,603590,
Income of individuals in 2020,  Without employment income,,187565,
Income of individuals in 2020,  With employment income,,416030,
Income of individuals in 2020,"    Under $5,000 (including loss)",,59875,
Income of individuals in 2020,"    $5,000 to $9,999",,37860,
Income of individuals in 2020,"    $10,000 to $19,999",,47080,
Income of individuals in 2020,"    $20,000 to $29,999",,34425,
Income of individuals in 2020,"    $30,000 to $39,999",,33370,
Income of individuals in 2020,"    $40,000 to $49,999",,34265,
Income of individuals in 2020,"    $50,000 to $59,999",,32040,
Income of individuals in 2020,"    $60,000 to $69,999",,27140,
Income of individuals in 2020,"    $70,000 to $79,999",,21620,
Income of individuals in 2020,"    $80,000 to $89,999",,18350,
Income of individuals in 2020,"    $90,000 to $99,999",,15430,
Income of individuals in 2020,"    $100,000 and over",,54580,
Income of individuals in 2020,"      $100,000 to $124,999",,26110,
Income of individuals in 2020,"      $125,000 and over",,28470,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,603590,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,555325,
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,36800,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,555470,
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,33600,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,493325,
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,36400,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,414210,
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,39600,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,485020,
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1360,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,29645,
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,5800,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,603595,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,555320,
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,51200,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,555460,
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,42000,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,493010,
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,51650,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,414475,
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,52550,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,485385,
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,6125,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,29625,
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7500,
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,603590,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,197530,
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,62000,
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,77000,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,145220,
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,23600,
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,33920,
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100,
Income of individuals in 2019,  Market income (%),,89.6,
Income of individuals in 2019,    Employment income (%),,76.6,
Income of individuals in 2019,  Government transfers (%),,10.5,
Income of individuals in 2019,    Employment insurance benefits (%),,0.8,
Income of households in 2020,Total - Income statistics for private households - 100% data,26,244575,
Income of households in 2020,  Median total income of household in 2020 ($),,102000,
Income of households in 2020,  Median after-tax income of household in 2020 ($),,89000,
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,47335,
Income of households in 2020,      Median total income of one-person households in 2020 ($),,46800,
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,41200,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,197235,
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,118000,
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,103000,
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,244575,
Income of households in 2020,  Average total income of household in 2020 ($),,126500,
Income of households in 2020,  Average after-tax income of household in 2020 ($),,104300,
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,47355,
Income of households in 2020,      Average total income of one-person households in 2020 ($),,58650,
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,48200,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,197220,
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,142800,
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,117800,
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,244575,
Income of households in 2020,"  Under $5,000",,3095,
Income of households in 2020,"  $5,000 to $9,999",,1215,
Income of households in 2020,"  $10,000 to $14,999",,2050,
Income of households in 2020,"  $15,000 to $19,999",,2945,
Income of households in 2020,"  $20,000 to $24,999",,6680,
Income of households in 2020,"  $25,000 to $29,999",,5605,
Income of households in 2020,"  $30,000 to $34,999",,5840,
Income of households in 2020,"  $35,000 to $39,999",,6465,
Income of households in 2020,"  $40,000 to $44,999",,6580,
Income of households in 2020,"  $45,000 to $49,999",,6690,
Income of households in 2020,"  $50,000 to $59,999",,14570,
Income of households in 2020,"  $60,000 to $69,999",,14810,
Income of households in 2020,"  $70,000 to $79,999",,14860,
Income of households in 2020,"  $80,000 to $89,999",,14345,
Income of households in 2020,"  $90,000 to $99,999",,13790,
Income of households in 2020,"  $100,000 and over",,125035,
Income of households in 2020,"    $100,000 to $124,999",,31045,
Income of households in 2020,"    $125,000 to $149,999",,24255,
Income of households in 2020,"    $150,000 to $199,999",,33085,
Income of households in 2020,"    $200,000 and over",,36655,
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,244575,
Income of households in 2020,"  Under $5,000",,3450,
Income of households in 2020,"  $5,000 to $9,999",,1275,
Income of households in 2020,"  $10,000 to $14,999",,2090,
Income of households in 2020,"  $15,000 to $19,999",,3165,
Income of households in 2020,"  $20,000 to $24,999",,7100,
Income of households in 2020,"  $25,000 to $29,999",,6270,
Income of households in 2020,"  $30,000 to $34,999",,6615,
Income of households in 2020,"  $35,000 to $39,999",,7375,
Income of households in 2020,"  $40,000 to $44,999",,7860,
Income of households in 2020,"  $45,000 to $49,999",,8230,
Income of households in 2020,"  $50,000 to $59,999",,17505,
Income of households in 2020,"  $60,000 to $69,999",,17755,
Income of households in 2020,"  $70,000 to $79,999",,17855,
Income of households in 2020,"  $80,000 to $89,999",,17180,
Income of households in 2020,"  $90,000 to $99,999",,15815,
Income of households in 2020,"  $100,000 and over",,105040,
Income of households in 2020,"    $100,000 to $124,999",,32890,
Income of households in 2020,"    $125,000 to $149,999",,24375,
Income of households in 2020,"    $150,000 and over",,47775,
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,192130,
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,116000,
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,102000,
Income of economic families in 2020,  Average family size of economic families,,3.3,
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,48770,
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,94000,
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,81000,
Income of economic families in 2020,  Average family size of couple-only economic families,,2,
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,105670,
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,141000,
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,122000,
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4.1,
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,30410,
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,81000,
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,73500,
Income of economic families in 2020,  Average family size of one-parent economic families,,2.8,
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,71910,
Income of economic families in 2020,  Median total income in 2020 ($),30,39600,
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,36000,
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,191900,
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,142200,
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,117000,
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,48565,
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,117700,
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,95600,
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,105835,
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,166400,
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,136200,
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,30225,
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,94000,
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,81800,
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,71855,
Income of economic families in 2020,  Average total income in 2020 ($),30,51120,
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,42680,
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,712825,
Low income and income inequality in 2020,  0 to 17 years,,135865,
Low income and income inequality in 2020,    0 to 5 years,,38655,
Low income and income inequality in 2020,  18 to 64 years,,461865,
Low income and income inequality in 2020,  65 years and over,,115095,
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,66740,
Low income and income inequality in 2020,  0 to 17 years,,16105,
Low income and income inequality in 2020,    0 to 5 years,,4885,
Low income and income inequality in 2020,  18 to 64 years,,37080,
Low income and income inequality in 2020,  65 years and over,,13560,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,9.4,
Low income and income inequality in 2020,  0 to 17 years (%),,11.9,
Low income and income inequality in 2020,    0 to 5 years (%),,12.6,
Low income and income inequality in 2020,  18 to 64 years (%),,8,
Low income and income inequality in 2020,  65 years and over (%),,11.8,
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,712825,
Low income and income inequality in 2020,  0 to 17 years,,135865,
Low income and income inequality in 2020,    0 to 5 years,,38655,
Low income and income inequality in 2020,  18 to 64 years,,461865,
Low income and income inequality in 2020,  65 years and over,,115100,
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,41965,
Low income and income inequality in 2020,  0 to 17 years,,8615,
Low income and income inequality in 2020,    0 to 5 years,,2640,
Low income and income inequality in 2020,  18 to 64 years,,28650,
Low income and income inequality in 2020,  65 years and over,,4700,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,5.9,
Low income and income inequality in 2020,  0 to 17 years (%),,6.3,
Low income and income inequality in 2020,    0 to 5 years (%),,6.8,
Low income and income inequality in 2020,  18 to 64 years (%),,6.2,
Low income and income inequality in 2020,  65 years and over (%),,4.1,
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,712825,
Low income and income inequality in 2020,  In bottom half of the distribution,,313175,
Low income and income inequality in 2020,    In bottom decile,,61650,
Low income and income inequality in 2020,    In second decile,,59710,
Low income and income inequality in 2020,    In third decile,,61960,
Low income and income inequality in 2020,    In fourth decile,,63455,
Low income and income inequality in 2020,    In fifth decile,,66405,
Low income and income inequality in 2020,  In top half of the distribution,,399650,
Low income and income inequality in 2020,    In sixth decile,,70015,
Low income and income inequality in 2020,    In seventh decile,,73495,
Low income and income inequality in 2020,    In eighth decile,,78265,
Low income and income inequality in 2020,    In ninth decile,,86475,
Low income and income inequality in 2020,    In top decile,,91405,
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,712825,
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.343,
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.45,
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.297,
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3.8,
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,714840,
Knowledge of official languages,  English only,,641785,
Knowledge of official languages,  French only,,535,
Knowledge of official languages,  English and French,,47965,
Knowledge of official languages,  Neither English nor French,,24550,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,714840,
First official language spoken,  English,,676630,
First official language spoken,  French,,7395,
First official language spoken,  English and French,,6705,
First official language spoken,  Neither English nor French,,24110,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,714840,
Mother tongue,  Single responses,,654950,
Mother tongue,    Official languages,,326820,
Mother tongue,      English,,320640,
Mother tongue,      French,,6180,
Mother tongue,    Non-official languages,,328130,
Mother tongue,      Indigenous languages,39,10,
Mother tongue,        Algonquian languages,,5,
Mother tongue,          Blackfoot,,0,
Mother tongue,          Cree-Innu languages,,0,
Mother tongue,            Atikamekw,,0,
Mother tongue,            Cree languages,,0,
Mother tongue,              Ililimowin (Moose Cree),,0,
Mother tongue,              Inu Ayimun (Southern East Cree),,0,
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0,
Mother tongue,              Nehinawewin (Swampy Cree),,0,
Mother tongue,              Nehiyawewin (Plains Cree),,0,
Mother tongue,              Nihithawiwin (Woods Cree),,0,
Mother tongue,"              Cree, n.o.s.",,0,
Mother tongue,            Innu (Montagnais),,0,
Mother tongue,            Naskapi,,0,
Mother tongue,          Eastern Algonquian languages,,0,
Mother tongue,            Mi'kmaq,,0,
Mother tongue,            Wolastoqewi (Malecite),,0,
Mother tongue,          Ojibway-Potawatomi languages,,0,
Mother tongue,            Anicinabemowin (Algonquin),,0,
Mother tongue,            Oji-Cree,,0,
Mother tongue,            Ojibway languages,,0,
Mother tongue,              Anishinaabemowin (Chippewa),,0,
Mother tongue,              Daawaamwin (Odawa),,0,
Mother tongue,              Saulteau (Western Ojibway),,0,
Mother tongue,"              Ojibway, n.o.s.",,0,
Mother tongue,"          Algonquian languages, n.i.e.",,0,
Mother tongue,        Athabaskan languages,,0,
Mother tongue,          Northern Athabaskan languages,,0,
Mother tongue,            Dakelh (Carrier),,0,
Mother tongue,            Dane-zaa (Beaver),,0,
Mother tongue,"            Dene, n.o.s.",,0,
Mother tongue,            Gwich'in,,0,
Mother tongue,            Slavey-Hare languages,,0,
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0,
Mother tongue,              Satuotine Yati (North Slavey),,0,
Mother tongue,"              Slavey, n.o.s.",,0,
Mother tongue,            Tahltan languages,,0,
Mother tongue,              Kaska (Nahani),,0,
Mother tongue,              Tahltan,,0,
Mother tongue,            Tlicho (Dogrib),,0,
Mother tongue,            Tse'khene (Sekani),,0,
Mother tongue,            Tsilhqot'in (Chilcotin),,0,
Mother tongue,            Tsuu T'ina (Sarsi),,0,
Mother tongue,            Tutchone languages,,0,
Mother tongue,              Northern Tutchone,,0,
Mother tongue,              Southern Tutchone,,0,
Mother tongue,"              Tutchone, n.o.s.",,0,
Mother tongue,            Wetsuwet'en-Babine,,0,
Mother tongue,          Tlingit,,0,
Mother tongue,"          Athabaskan languages, n.i.e.",,0,
Mother tongue,        Haida,,0,
Mother tongue,        Inuktut (Inuit) languages,,0,
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0,
Mother tongue,            Inuinnaqtun,,0,
Mother tongue,            Inuvialuktun,,0,
Mother tongue,          Inuktitut,,0,
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0,
Mother tongue,        Iroquoian languages,,5,
Mother tongue,          Cayuga,,0,
Mother tongue,          Mohawk,,0,
Mother tongue,          Oneida,,0,
Mother tongue,"          Iroquoian languages, n.i.e.",,0,
Mother tongue,        Ktunaxa (Kutenai),,0,
Mother tongue,        Michif,,0,
Mother tongue,        Salish languages,,0,
Mother tongue,          Halkomelem,,0,
Mother tongue,          Lillooet,,0,
Mother tongue,          Ntlakapamux (Thompson),,0,
