Topic,Characteristic,Note,Total
Family characteristics,      Without children,,7975
Family characteristics,    Common-law couples,,2870
Family characteristics,      With children,6,1455
Family characteristics,      Without children,,1420
Family characteristics,  Total one-parent families,,6625
Family characteristics,    in which the parent is a woman+,,5295
Family characteristics,    in which the parent is a man+,,1330
Family characteristics,Total - Persons in private households - 100% data,,126250
Family characteristics,  Total - Persons in census families,,113710
Family characteristics,    Married spouses or common-law partners,,58395
Family characteristics,    Parents in one-parent families,,6620
Family characteristics,    Children,6,48690
Family characteristics,      In a two-parent family,,37955
Family characteristics,      In a one-parent family,,10730
Family characteristics,  Total - Persons not in census families in private households - 100% data,,12540
Family characteristics,    Living alone,,5555
Family characteristics,    Living with other relatives,7,4485
Family characteristics,    Living with non-relatives only,,2500
Household type,Total - Household type - 100% data,,39490
Household type,  One-census-family households without additional persons,,26770
Household type,    Couple-family households,,22615
Household type,      With children,6,15735
Household type,      Without children,,6885
Household type,    One-parent-family households,,4150
Household type,  Multigenerational households,8,3670
Household type,  Multiple-census-family households,9,625
Household type,  One-census-family households with additional persons,9,1925
Household type,  Two-or-more-person non-census-family households ,,950
Household type,  One-person households,,5555
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,102460
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,97240
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,42400
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,97250
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,38400
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,85860
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,38800
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,73795
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,42400
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,88095
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,8000
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,9860
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5920
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,33015
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9500
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,102460
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,97480
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,54300
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,97490
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,45440
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,85945
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,51000
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,73795
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,52300
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,87900
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,10380
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,9645
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,7100
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,32325
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9880
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,102460
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,36965
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,70000
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,80200
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,26645
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,16200
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,26600
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100
Income of individuals in 2020,  Market income (%),18,82.8
Income of individuals in 2020,    Employment income (%),19,73
Income of individuals in 2020,  Government transfers (%),20,17.2
Income of individuals in 2020,    Employment insurance benefits (%),,1.3
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,6.7
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,6
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,102460
Income of individuals in 2020,  Without total income,,5215
Income of individuals in 2020,  With total income,,97240
Income of individuals in 2020,"    Under $10,000 (including loss)",,9040
Income of individuals in 2020,"    $10,000 to $19,999",,11405
Income of individuals in 2020,"    $20,000 to $29,999",,14675
Income of individuals in 2020,"    $30,000 to $39,999",,11045
Income of individuals in 2020,"    $40,000 to $49,999",,9395
Income of individuals in 2020,"    $50,000 to $59,999",,8325
Income of individuals in 2020,"    $60,000 to $69,999",,7080
Income of individuals in 2020,"    $70,000 to $79,999",,5860
Income of individuals in 2020,"    $80,000 to $89,999",,4600
Income of individuals in 2020,"    $90,000 to $99,999",,3865
Income of individuals in 2020,"    $100,000 and over",,11940
Income of individuals in 2020,"      $100,000 to $149,999",,8710
Income of individuals in 2020,"      $150,000 and over",,3235
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,102460
Income of individuals in 2020,  Without after-tax income,,5210
Income of individuals in 2020,  With after-tax income,,97255
Income of individuals in 2020,"    Under $10,000 (including loss)",,9300
Income of individuals in 2020,"    $10,000 to $19,999",,11885
Income of individuals in 2020,"    $20,000 to $29,999",,16480
Income of individuals in 2020,"    $30,000 to $39,999",,12760
Income of individuals in 2020,"    $40,000 to $49,999",,11345
Income of individuals in 2020,"    $50,000 to $59,999",,9650
Income of individuals in 2020,"    $60,000 to $69,999",,7460
Income of individuals in 2020,"    $70,000 to $79,999",,5730
Income of individuals in 2020,"    $80,000 to $89,999",,4575
Income of individuals in 2020,"    $90,000 to $99,999",,2720
Income of individuals in 2020,"    $100,000 and over",,5340
Income of individuals in 2020,"      $100,000 to $124,999",,3030
Income of individuals in 2020,"      $125,000 and over",,2310
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,102460
Income of individuals in 2020,  Without employment income,,28665
Income of individuals in 2020,  With employment income,,73795
Income of individuals in 2020,"    Under $5,000 (including loss)",,10545
Income of individuals in 2020,"    $5,000 to $9,999",,6330
Income of individuals in 2020,"    $10,000 to $19,999",,7825
Income of individuals in 2020,"    $20,000 to $29,999",,5655
Income of individuals in 2020,"    $30,000 to $39,999",,5275
Income of individuals in 2020,"    $40,000 to $49,999",,5720
Income of individuals in 2020,"    $50,000 to $59,999",,5685
Income of individuals in 2020,"    $60,000 to $69,999",,5220
Income of individuals in 2020,"    $70,000 to $79,999",,4575
Income of individuals in 2020,"    $80,000 to $89,999",,3715
Income of individuals in 2020,"    $90,000 to $99,999",,3460
Income of individuals in 2020,"    $100,000 and over",,9790
Income of individuals in 2020,"      $100,000 to $124,999",,5045
Income of individuals in 2020,"      $125,000 and over",,4745
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,102460
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,94785
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,40400
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,94815
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,36800
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,85095
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,40000
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,74230
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,42400
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,82220
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1620
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,6470
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,6200
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,102460
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,94975
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,52050
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,95010
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,42960
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,85315
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,51850
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,74250
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,52350
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,82035
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,6315
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,6375
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7990
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,102460
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,36745
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,66000
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,75400
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,25155
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,23600
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,32880
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100
Income of individuals in 2019,  Market income (%),,89.6
Income of individuals in 2019,    Employment income (%),,78.6
Income of individuals in 2019,  Government transfers (%),,10.5
Income of individuals in 2019,    Employment insurance benefits (%),,1
Income of households in 2020,Total - Income statistics for private households - 100% data,26,39490
Income of households in 2020,  Median total income of household in 2020 ($),,119000
Income of households in 2020,  Median after-tax income of household in 2020 ($),,103000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,5555
Income of households in 2020,      Median total income of one-person households in 2020 ($),,51200
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,44800
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,33930
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,130000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,112000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,39490
Income of households in 2020,  Average total income of household in 2020 ($),,134000
Income of households in 2020,  Average after-tax income of household in 2020 ($),,112200
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,5555
Income of households in 2020,      Average total income of one-person households in 2020 ($),,60200
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,49800
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,33930
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,146200
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,122400
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,39490
Income of households in 2020,"  Under $5,000",,195
Income of households in 2020,"  $5,000 to $9,999",,95
Income of households in 2020,"  $10,000 to $14,999",,170
Income of households in 2020,"  $15,000 to $19,999",,295
Income of households in 2020,"  $20,000 to $24,999",,640
Income of households in 2020,"  $25,000 to $29,999",,625
Income of households in 2020,"  $30,000 to $34,999",,605
Income of households in 2020,"  $35,000 to $39,999",,690
Income of households in 2020,"  $40,000 to $44,999",,785
Income of households in 2020,"  $45,000 to $49,999",,840
Income of households in 2020,"  $50,000 to $59,999",,1865
Income of households in 2020,"  $60,000 to $69,999",,2090
Income of households in 2020,"  $70,000 to $79,999",,2170
Income of households in 2020,"  $80,000 to $89,999",,2230
Income of households in 2020,"  $90,000 to $99,999",,2325
Income of households in 2020,"  $100,000 and over",,23870
Income of households in 2020,"    $100,000 to $124,999",,5520
Income of households in 2020,"    $125,000 to $149,999",,4845
Income of households in 2020,"    $150,000 to $199,999",,6975
Income of households in 2020,"    $200,000 and over",,6530
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,39490
Income of households in 2020,"  Under $5,000",,210
Income of households in 2020,"  $5,000 to $9,999",,110
Income of households in 2020,"  $10,000 to $14,999",,170
Income of households in 2020,"  $15,000 to $19,999",,325
Income of households in 2020,"  $20,000 to $24,999",,665
Income of households in 2020,"  $25,000 to $29,999",,715
Income of households in 2020,"  $30,000 to $34,999",,685
Income of households in 2020,"  $35,000 to $39,999",,815
Income of households in 2020,"  $40,000 to $44,999",,1000
Income of households in 2020,"  $45,000 to $49,999",,1000
Income of households in 2020,"  $50,000 to $59,999",,2330
Income of households in 2020,"  $60,000 to $69,999",,2585
Income of households in 2020,"  $70,000 to $79,999",,2705
Income of households in 2020,"  $80,000 to $89,999",,2950
Income of households in 2020,"  $90,000 to $99,999",,2825
Income of households in 2020,"  $100,000 and over",,20400
Income of households in 2020,"    $100,000 to $124,999",,6405
Income of households in 2020,"    $125,000 to $149,999",,5005
Income of households in 2020,"    $150,000 and over",,8985
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,33490
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,129000
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,111000
Income of economic families in 2020,  Average family size of economic families,,3.5
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,7135
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,106000
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,90000
Income of economic families in 2020,  Average family size of couple-only economic families,,2
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,19755
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,149000
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,127000
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4.3
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,5485
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,92000
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,82000
Income of economic families in 2020,  Average family size of one-parent economic families,,2.9
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,8055
Income of economic families in 2020,  Median total income in 2020 ($),30,45600
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,40800
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,33460
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,145000
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,121200
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,7090
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,119500
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,98800
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,19830
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,163800
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,136800
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,5425
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,106200
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,91700
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,8060
Income of economic families in 2020,  Average total income in 2020 ($),30,55350
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,46160
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,126245
Low income and income inequality in 2020,  0 to 17 years,,28855
Low income and income inequality in 2020,    0 to 5 years,,8780
Low income and income inequality in 2020,  18 to 64 years,,81110
Low income and income inequality in 2020,  65 years and over,,16280
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,6915
Low income and income inequality in 2020,  0 to 17 years,,2085
Low income and income inequality in 2020,    0 to 5 years,,670
Low income and income inequality in 2020,  18 to 64 years,,3620
Low income and income inequality in 2020,  65 years and over,,1210
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,5.5
Low income and income inequality in 2020,  0 to 17 years (%),,7.2
Low income and income inequality in 2020,    0 to 5 years (%),,7.6
Low income and income inequality in 2020,  18 to 64 years (%),,4.5
Low income and income inequality in 2020,  65 years and over (%),,7.4
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,126250
Low income and income inequality in 2020,  0 to 17 years,,28855
Low income and income inequality in 2020,    0 to 5 years,,8785
Low income and income inequality in 2020,  18 to 64 years,,81110
Low income and income inequality in 2020,  65 years and over,,16285
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,3755
Low income and income inequality in 2020,  0 to 17 years,,955
Low income and income inequality in 2020,    0 to 5 years,,295
Low income and income inequality in 2020,  18 to 64 years,,2420
Low income and income inequality in 2020,  65 years and over,,380
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,3
Low income and income inequality in 2020,  0 to 17 years (%),,3.3
Low income and income inequality in 2020,    0 to 5 years (%),,3.4
Low income and income inequality in 2020,  18 to 64 years (%),,3
Low income and income inequality in 2020,  65 years and over (%),,2.4
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,126245
Low income and income inequality in 2020,  In bottom half of the distribution,,47365
Low income and income inequality in 2020,    In bottom decile,,6075
Low income and income inequality in 2020,    In second decile,,8060
Low income and income inequality in 2020,    In third decile,,10005
Low income and income inequality in 2020,    In fourth decile,,11040
Low income and income inequality in 2020,    In fifth decile,,12180
Low income and income inequality in 2020,  In top half of the distribution,,78880
Low income and income inequality in 2020,    In sixth decile,,13840
Low income and income inequality in 2020,    In seventh decile,,15200
Low income and income inequality in 2020,    In eighth decile,,17195
Low income and income inequality in 2020,    In ninth decile,,18000
Low income and income inequality in 2020,    In top decile,,14655
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,126250
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.286
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.39
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.249
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3.1
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,126415
Knowledge of official languages,  English only,,114445
Knowledge of official languages,  French only,,100
Knowledge of official languages,  English and French,,9420
Knowledge of official languages,  Neither English nor French,,2450
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,126415
First official language spoken,  English,,121685
First official language spoken,  French,,1595
First official language spoken,  English and French,,740
First official language spoken,  Neither English nor French,,2395
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,126415
Mother tongue,  Single responses,,118590
Mother tongue,    Official languages,,83320
Mother tongue,      English,,81910
Mother tongue,      French,,1410
Mother tongue,    Non-official languages,,35270
Mother tongue,      Indigenous languages,39,5
Mother tongue,        Algonquian languages,,5
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Innu languages,,5
Mother tongue,            Atikamekw,,0
Mother tongue,            Cree languages,,5
Mother tongue,              Ililimowin (Moose Cree),,0
Mother tongue,              Inu Ayimun (Southern East Cree),,0
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0
Mother tongue,              Nehinawewin (Swampy Cree),,0
Mother tongue,              Nehiyawewin (Plains Cree),,0
Mother tongue,              Nihithawiwin (Woods Cree),,0
Mother tongue,"              Cree, n.o.s.",,0
Mother tongue,            Innu (Montagnais),,0
Mother tongue,            Naskapi,,0
Mother tongue,          Eastern Algonquian languages,,0
Mother tongue,            Mi'kmaq,,0
Mother tongue,            Wolastoqewi (Malecite),,0
Mother tongue,          Ojibway-Potawatomi languages,,0
Mother tongue,            Anicinabemowin (Algonquin),,0
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ojibway languages,,0
Mother tongue,              Anishinaabemowin (Chippewa),,0
Mother tongue,              Daawaamwin (Odawa),,0
Mother tongue,              Saulteau (Western Ojibway),,0
Mother tongue,"              Ojibway, n.o.s.",,0
Mother tongue,"          Algonquian languages, n.i.e.",,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Dakelh (Carrier),,0
Mother tongue,            Dane-zaa (Beaver),,0
Mother tongue,"            Dene, n.o.s.",,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0
Mother tongue,              Satuotine Yati (North Slavey),,0
Mother tongue,"              Slavey, n.o.s.",,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tlicho (Dogrib),,0
Mother tongue,            Tse'khene (Sekani),,0
Mother tongue,            Tsilhqot'in (Chilcotin),,0
Mother tongue,            Tsuu T'ina (Sarsi),,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,"              Tutchone, n.o.s.",,0
Mother tongue,            Wetsuwet'en-Babine,,0
Mother tongue,          Tlingit,,0
Mother tongue,"          Athabaskan languages, n.i.e.",,0
Mother tongue,        Haida,,0
Mother tongue,        Inuktut (Inuit) languages,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,            Inuinnaqtun,,0
Mother tongue,            Inuvialuktun,,0
Mother tongue,          Inuktitut,,0
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0
Mother tongue,        Iroquoian languages,,0
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,0
Mother tongue,          Oneida,,0
Mother tongue,"          Iroquoian languages, n.i.e.",,0
Mother tongue,        Ktunaxa (Kutenai),,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Ntlakapamux (Thompson),,0
Mother tongue,          Secwepemctsin (Shuswap),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Syilx (Okanagan),,0
Mother tongue,"          Salish languages, n.i.e.",,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Assiniboine,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,"          Siouan languages, n.i.e.",,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwak'wala (Kwakiutl),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,"          Wakashan languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.o.s.",,0
Mother tongue,      Non-Indigenous languages,,35265
