Topic,Characteristic,Note,Total
Income of individuals in 2020,"    $60,000 to $69,999",,34310
Income of individuals in 2020,"    $70,000 to $79,999",,26085
Income of individuals in 2020,"    $80,000 to $89,999",,19565
Income of individuals in 2020,"    $90,000 to $99,999",,15530
Income of individuals in 2020,"    $100,000 and over",,51575
Income of individuals in 2020,"      $100,000 to $149,999",,35345
Income of individuals in 2020,"      $150,000 and over",,16235
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,478140
Income of individuals in 2020,  Without after-tax income,,20695
Income of individuals in 2020,  With after-tax income,,457445
Income of individuals in 2020,"    Under $10,000 (including loss)",,40325
Income of individuals in 2020,"    $10,000 to $19,999",,55260
Income of individuals in 2020,"    $20,000 to $29,999",,76150
Income of individuals in 2020,"    $30,000 to $39,999",,67555
Income of individuals in 2020,"    $40,000 to $49,999",,60630
Income of individuals in 2020,"    $50,000 to $59,999",,46970
Income of individuals in 2020,"    $60,000 to $69,999",,32935
Income of individuals in 2020,"    $70,000 to $79,999",,23275
Income of individuals in 2020,"    $80,000 to $89,999",,18370
Income of individuals in 2020,"    $90,000 to $99,999",,10845
Income of individuals in 2020,"    $100,000 and over",,25130
Income of individuals in 2020,"      $100,000 to $124,999",,12785
Income of individuals in 2020,"      $125,000 and over",,12340
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,478140
Income of individuals in 2020,  Without employment income,,132830
Income of individuals in 2020,  With employment income,,345315
Income of individuals in 2020,"    Under $5,000 (including loss)",,43980
Income of individuals in 2020,"    $5,000 to $9,999",,26640
Income of individuals in 2020,"    $10,000 to $19,999",,40025
Income of individuals in 2020,"    $20,000 to $29,999",,30375
Income of individuals in 2020,"    $30,000 to $39,999",,30880
Income of individuals in 2020,"    $40,000 to $49,999",,32025
Income of individuals in 2020,"    $50,000 to $59,999",,29070
Income of individuals in 2020,"    $60,000 to $69,999",,24020
Income of individuals in 2020,"    $70,000 to $79,999",,18870
Income of individuals in 2020,"    $80,000 to $89,999",,15195
Income of individuals in 2020,"    $90,000 to $99,999",,13240
Income of individuals in 2020,"    $100,000 and over",,40995
Income of individuals in 2020,"      $100,000 to $124,999",,20285
Income of individuals in 2020,"      $125,000 and over",,20710
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,478145
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,447055
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,40400
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,447145
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,36400
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,405690
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,38800
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,343965
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,40400
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,384170
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1640
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,30230
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,5520
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,478140
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,447300
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,52100
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,447395
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,43240
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,405845
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,51040
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,344300
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,51040
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,384265
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,6700
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,30280
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7460
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,478140
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,169810
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,61200
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,72900
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,124885
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,23800
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,32920
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100
Income of individuals in 2019,  Market income (%),,89
Income of individuals in 2019,    Employment income (%),,75.4
Income of individuals in 2019,  Government transfers (%),,11.1
Income of individuals in 2019,    Employment insurance benefits (%),,1
Income of households in 2020,Total - Income statistics for private households - 100% data,26,222425
Income of households in 2020,  Median total income of household in 2020 ($),,92000
Income of households in 2020,  Median after-tax income of household in 2020 ($),,81000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,54845
Income of households in 2020,      Median total income of one-person households in 2020 ($),,44800
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,40000
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,167585
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,111000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,97000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,222425
Income of households in 2020,  Average total income of household in 2020 ($),,112500
Income of households in 2020,  Average after-tax income of household in 2020 ($),,93700
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,54820
Income of households in 2020,      Average total income of one-person households in 2020 ($),,55800
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,46800
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,167605
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,131200
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,109100
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,222425
Income of households in 2020,"  Under $5,000",,2495
Income of households in 2020,"  $5,000 to $9,999",,1060
Income of households in 2020,"  $10,000 to $14,999",,2195
Income of households in 2020,"  $15,000 to $19,999",,3455
Income of households in 2020,"  $20,000 to $24,999",,6145
Income of households in 2020,"  $25,000 to $29,999",,6435
Income of households in 2020,"  $30,000 to $34,999",,5925
Income of households in 2020,"  $35,000 to $39,999",,6830
Income of households in 2020,"  $40,000 to $44,999",,7300
Income of households in 2020,"  $45,000 to $49,999",,7635
Income of households in 2020,"  $50,000 to $59,999",,15115
Income of households in 2020,"  $60,000 to $69,999",,15065
Income of households in 2020,"  $70,000 to $79,999",,14515
Income of households in 2020,"  $80,000 to $89,999",,13790
Income of households in 2020,"  $90,000 to $99,999",,13265
Income of households in 2020,"  $100,000 and over",,101205
Income of households in 2020,"    $100,000 to $124,999",,28660
Income of households in 2020,"    $125,000 to $149,999",,21715
Income of households in 2020,"    $150,000 to $199,999",,26510
Income of households in 2020,"    $200,000 and over",,24315
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,222425
Income of households in 2020,"  Under $5,000",,2760
Income of households in 2020,"  $5,000 to $9,999",,1105
Income of households in 2020,"  $10,000 to $14,999",,2250
Income of households in 2020,"  $15,000 to $19,999",,3620
Income of households in 2020,"  $20,000 to $24,999",,6570
Income of households in 2020,"  $25,000 to $29,999",,7315
Income of households in 2020,"  $30,000 to $34,999",,7115
Income of households in 2020,"  $35,000 to $39,999",,7980
Income of households in 2020,"  $40,000 to $44,999",,8875
Income of households in 2020,"  $45,000 to $49,999",,9030
Income of households in 2020,"  $50,000 to $59,999",,17860
Income of households in 2020,"  $60,000 to $69,999",,17960
Income of households in 2020,"  $70,000 to $79,999",,16980
Income of households in 2020,"  $80,000 to $89,999",,16295
Income of households in 2020,"  $90,000 to $99,999",,14850
Income of households in 2020,"  $100,000 and over",,81875
Income of households in 2020,"    $100,000 to $124,999",,29845
Income of households in 2020,"    $125,000 to $149,999",,20115
Income of households in 2020,"    $150,000 and over",,31915
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,158635
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,111000
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,97000
Income of economic families in 2020,  Average family size of economic families,,3.1
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,55670
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,96000
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,84000
Income of economic families in 2020,  Average family size of couple-only economic families,,2
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,74425
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,139000
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,119000
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4.1
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,23415
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,72500
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,66500
Income of economic families in 2020,  Average family size of one-parent economic families,,2.7
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,85575
Income of economic families in 2020,  Median total income in 2020 ($),30,38400
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,34800
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,158595
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,131800
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,109300
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,55615
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,114200
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,94500
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,74565
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,161200
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,132200
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,23275
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,83400
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,73500
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,85435
Income of economic families in 2020,  Average total income in 2020 ($),30,48160
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,41080
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,579385
Low income and income inequality in 2020,  0 to 17 years,,122190
Low income and income inequality in 2020,    0 to 5 years,,38300
Low income and income inequality in 2020,  18 to 64 years,,370980
Low income and income inequality in 2020,  65 years and over,,86210
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,53710
Low income and income inequality in 2020,  0 to 17 years,,13145
Low income and income inequality in 2020,    0 to 5 years,,4480
Low income and income inequality in 2020,  18 to 64 years,,31285
Low income and income inequality in 2020,  65 years and over,,9285
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,9.3
Low income and income inequality in 2020,  0 to 17 years (%),,10.8
Low income and income inequality in 2020,    0 to 5 years (%),,11.7
Low income and income inequality in 2020,  18 to 64 years (%),,8.4
Low income and income inequality in 2020,  65 years and over (%),,10.8
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,579380
Low income and income inequality in 2020,  0 to 17 years,,122190
Low income and income inequality in 2020,    0 to 5 years,,38295
Low income and income inequality in 2020,  18 to 64 years,,370980
Low income and income inequality in 2020,  65 years and over,,86210
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,35690
Low income and income inequality in 2020,  0 to 17 years,,6455
Low income and income inequality in 2020,    0 to 5 years,,2120
Low income and income inequality in 2020,  18 to 64 years,,26695
Low income and income inequality in 2020,  65 years and over,,2535
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,6.2
Low income and income inequality in 2020,  0 to 17 years (%),,5.3
Low income and income inequality in 2020,    0 to 5 years (%),,5.5
Low income and income inequality in 2020,  18 to 64 years (%),,7.2
Low income and income inequality in 2020,  65 years and over (%),,2.9
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,579385
Low income and income inequality in 2020,  In bottom half of the distribution,,271515
Low income and income inequality in 2020,    In bottom decile,,52450
Low income and income inequality in 2020,    In second decile,,52050
Low income and income inequality in 2020,    In third decile,,53865
Low income and income inequality in 2020,    In fourth decile,,54950
Low income and income inequality in 2020,    In fifth decile,,58210
Low income and income inequality in 2020,  In top half of the distribution,,307865
Low income and income inequality in 2020,    In sixth decile,,59880
Low income and income inequality in 2020,    In seventh decile,,61840
Low income and income inequality in 2020,    In eighth decile,,63460
Low income and income inequality in 2020,    In ninth decile,,63970
Low income and income inequality in 2020,    In top decile,,58715
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,579380
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.329
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.431
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.287
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3.6
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,582210
Knowledge of official languages,  English only,,534055
Knowledge of official languages,  French only,,260
Knowledge of official languages,  English and French,,36705
Knowledge of official languages,  Neither English nor French,,11185
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,582210
First official language spoken,  English,,562960
First official language spoken,  French,,5630
First official language spoken,  English and French,,2705
First official language spoken,  Neither English nor French,,10915
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,582210
Mother tongue,  Single responses,,559980
Mother tongue,    Official languages,,408650
Mother tongue,      English,,403060
Mother tongue,      French,,5590
Mother tongue,    Non-official languages,,151325
Mother tongue,      Indigenous languages,39,25
Mother tongue,        Algonquian languages,,20
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Innu languages,,5
Mother tongue,            Atikamekw,,0
Mother tongue,            Cree languages,,5
Mother tongue,              Ililimowin (Moose Cree),,0
Mother tongue,              Inu Ayimun (Southern East Cree),,0
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0
Mother tongue,              Nehinawewin (Swampy Cree),,0
Mother tongue,              Nehiyawewin (Plains Cree),,0
Mother tongue,              Nihithawiwin (Woods Cree),,0
Mother tongue,"              Cree, n.o.s.",,5
Mother tongue,            Innu (Montagnais),,0
Mother tongue,            Naskapi,,0
Mother tongue,          Eastern Algonquian languages,,0
Mother tongue,            Mi'kmaq,,0
Mother tongue,            Wolastoqewi (Malecite),,0
Mother tongue,          Ojibway-Potawatomi languages,,10
Mother tongue,            Anicinabemowin (Algonquin),,0
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ojibway languages,,10
Mother tongue,              Anishinaabemowin (Chippewa),,0
Mother tongue,              Daawaamwin (Odawa),,0
Mother tongue,              Saulteau (Western Ojibway),,0
Mother tongue,"              Ojibway, n.o.s.",,10
Mother tongue,"          Algonquian languages, n.i.e.",,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Dakelh (Carrier),,0
Mother tongue,            Dane-zaa (Beaver),,0
Mother tongue,"            Dene, n.o.s.",,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0
Mother tongue,              Satuotine Yati (North Slavey),,0
Mother tongue,"              Slavey, n.o.s.",,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tlicho (Dogrib),,0
Mother tongue,            Tse'khene (Sekani),,0
Mother tongue,            Tsilhqot'in (Chilcotin),,0
Mother tongue,            Tsuu T'ina (Sarsi),,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,"              Tutchone, n.o.s.",,0
Mother tongue,            Wetsuwet'en-Babine,,0
Mother tongue,          Tlingit,,0
Mother tongue,"          Athabaskan languages, n.i.e.",,0
Mother tongue,        Haida,,0
Mother tongue,        Inuktut (Inuit) languages,,5
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,            Inuinnaqtun,,0
Mother tongue,            Inuvialuktun,,0
Mother tongue,          Inuktitut,,5
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0
Mother tongue,        Iroquoian languages,,5
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,5
Mother tongue,          Oneida,,0
Mother tongue,"          Iroquoian languages, n.i.e.",,0
Mother tongue,        Ktunaxa (Kutenai),,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Ntlakapamux (Thompson),,0
Mother tongue,          Secwepemctsin (Shuswap),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Syilx (Okanagan),,0
Mother tongue,"          Salish languages, n.i.e.",,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Assiniboine,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,"          Siouan languages, n.i.e.",,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwak'wala (Kwakiutl),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,"          Wakashan languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.o.s.",,0
