Topic,Characteristic,Note,Total
Income of individuals in 2020,  With after-tax income,,164495
Income of individuals in 2020,"    Under $10,000 (including loss)",,20155
Income of individuals in 2020,"    $10,000 to $19,999",,19565
Income of individuals in 2020,"    $20,000 to $29,999",,22230
Income of individuals in 2020,"    $30,000 to $39,999",,17225
Income of individuals in 2020,"    $40,000 to $49,999",,14835
Income of individuals in 2020,"    $50,000 to $59,999",,12565
Income of individuals in 2020,"    $60,000 to $69,999",,10385
Income of individuals in 2020,"    $70,000 to $79,999",,8885
Income of individuals in 2020,"    $80,000 to $89,999",,8365
Income of individuals in 2020,"    $90,000 to $99,999",,6100
Income of individuals in 2020,"    $100,000 and over",,24180
Income of individuals in 2020,"      $100,000 to $124,999",,9385
Income of individuals in 2020,"      $125,000 and over",,14795
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,173625
Income of individuals in 2020,  Without employment income,,51740
Income of individuals in 2020,  With employment income,,121885
Income of individuals in 2020,"    Under $5,000 (including loss)",,19170
Income of individuals in 2020,"    $5,000 to $9,999",,10090
Income of individuals in 2020,"    $10,000 to $19,999",,11700
Income of individuals in 2020,"    $20,000 to $29,999",,8080
Income of individuals in 2020,"    $30,000 to $39,999",,7055
Income of individuals in 2020,"    $40,000 to $49,999",,6880
Income of individuals in 2020,"    $50,000 to $59,999",,6775
Income of individuals in 2020,"    $60,000 to $69,999",,6275
Income of individuals in 2020,"    $70,000 to $79,999",,5495
Income of individuals in 2020,"    $80,000 to $89,999",,4940
Income of individuals in 2020,"    $90,000 to $99,999",,4955
Income of individuals in 2020,"    $100,000 and over",,30470
Income of individuals in 2020,"      $100,000 to $124,999",,9980
Income of individuals in 2020,"      $125,000 and over",,20490
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,173625
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,159170
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,46400
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,159235
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,40800
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,148345
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,45200
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,120925
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,47200
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,131360
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1070
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,6830
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,6320
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,173625
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,159170
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,80600
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,159250
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,60100
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,147990
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,81700
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,120880
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,80900
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,131020
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,5610
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,6805
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7930
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,173625
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,59955
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,86000
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,121900
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,41640
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,22200
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,46920
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100
Income of individuals in 2019,  Market income (%),,94.2
Income of individuals in 2019,    Employment income (%),,76.2
Income of individuals in 2019,  Government transfers (%),,5.7
Income of individuals in 2019,    Employment insurance benefits (%),,0.4
Income of households in 2020,Total - Income statistics for private households - 100% data,26,73560
Income of households in 2020,  Median total income of household in 2020 ($),,128000
Income of households in 2020,  Median after-tax income of household in 2020 ($),,108000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,13420
Income of households in 2020,      Median total income of one-person households in 2020 ($),,55200
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,47600
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,60135
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,150000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,125000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,73560
Income of households in 2020,  Average total income of household in 2020 ($),,182800
Income of households in 2020,  Average after-tax income of household in 2020 ($),,136600
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,13430
Income of households in 2020,      Average total income of one-person households in 2020 ($),,75900
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,59400
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,60130
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,206800
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,153800
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,73560
Income of households in 2020,"  Under $5,000",,940
Income of households in 2020,"  $5,000 to $9,999",,410
Income of households in 2020,"  $10,000 to $14,999",,590
Income of households in 2020,"  $15,000 to $19,999",,765
Income of households in 2020,"  $20,000 to $24,999",,1430
Income of households in 2020,"  $25,000 to $29,999",,1460
Income of households in 2020,"  $30,000 to $34,999",,1325
Income of households in 2020,"  $35,000 to $39,999",,1505
Income of households in 2020,"  $40,000 to $44,999",,1570
Income of households in 2020,"  $45,000 to $49,999",,1625
Income of households in 2020,"  $50,000 to $59,999",,3330
Income of households in 2020,"  $60,000 to $69,999",,3475
Income of households in 2020,"  $70,000 to $79,999",,3455
Income of households in 2020,"  $80,000 to $89,999",,3230
Income of households in 2020,"  $90,000 to $99,999",,3205
Income of households in 2020,"  $100,000 and over",,45250
Income of households in 2020,"    $100,000 to $124,999",,7515
Income of households in 2020,"    $125,000 to $149,999",,6580
Income of households in 2020,"    $150,000 to $199,999",,10540
Income of households in 2020,"    $200,000 and over",,20615
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,73560
Income of households in 2020,"  Under $5,000",,1200
Income of households in 2020,"  $5,000 to $9,999",,430
Income of households in 2020,"  $10,000 to $14,999",,605
Income of households in 2020,"  $15,000 to $19,999",,815
Income of households in 2020,"  $20,000 to $24,999",,1535
Income of households in 2020,"  $25,000 to $29,999",,1630
Income of households in 2020,"  $30,000 to $34,999",,1505
Income of households in 2020,"  $35,000 to $39,999",,1755
Income of households in 2020,"  $40,000 to $44,999",,1870
Income of households in 2020,"  $45,000 to $49,999",,1985
Income of households in 2020,"  $50,000 to $59,999",,4155
Income of households in 2020,"  $60,000 to $69,999",,4120
Income of households in 2020,"  $70,000 to $79,999",,4095
Income of households in 2020,"  $80,000 to $89,999",,4175
Income of households in 2020,"  $90,000 to $99,999",,3945
Income of households in 2020,"  $100,000 and over",,39740
Income of households in 2020,"    $100,000 to $124,999",,8875
Income of households in 2020,"    $125,000 to $149,999",,7505
Income of households in 2020,"    $150,000 and over",,23360
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,59055
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,150000
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,125000
Income of economic families in 2020,  Average family size of economic families,,3.3
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,15865
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,121000
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,102000
Income of economic families in 2020,  Average family size of couple-only economic families,,2
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,34460
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,184000
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,150000
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,7505
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,87000
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,77000
Income of economic families in 2020,  Average family size of one-parent economic families,,2.7
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,17640
Income of economic families in 2020,  Median total income in 2020 ($),30,48800
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,43200
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,59035
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,207400
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,153800
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,15820
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,171800
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,128600
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,34540
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,245600
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,180000
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,7450
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,114500
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,91400
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,17650
Income of economic families in 2020,  Average total income in 2020 ($),30,68700
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,54350
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,212055
Low income and income inequality in 2020,  0 to 17 years,,48740
Low income and income inequality in 2020,    0 to 5 years,,11610
Low income and income inequality in 2020,  18 to 64 years,,131205
Low income and income inequality in 2020,  65 years and over,,32110
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,18135
Low income and income inequality in 2020,  0 to 17 years,,5135
Low income and income inequality in 2020,    0 to 5 years,,1135
Low income and income inequality in 2020,  18 to 64 years,,10185
Low income and income inequality in 2020,  65 years and over,,2820
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,8.6
Low income and income inequality in 2020,  0 to 17 years (%),,10.5
Low income and income inequality in 2020,    0 to 5 years (%),,9.8
Low income and income inequality in 2020,  18 to 64 years (%),,7.8
Low income and income inequality in 2020,  65 years and over (%),,8.8
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,212060
Low income and income inequality in 2020,  0 to 17 years,,48735
Low income and income inequality in 2020,    0 to 5 years,,11610
Low income and income inequality in 2020,  18 to 64 years,,131210
Low income and income inequality in 2020,  65 years and over,,32110
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,12100
Low income and income inequality in 2020,  0 to 17 years,,3320
Low income and income inequality in 2020,    0 to 5 years,,675
Low income and income inequality in 2020,  18 to 64 years,,7595
Low income and income inequality in 2020,  65 years and over,,1180
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,5.7
Low income and income inequality in 2020,  0 to 17 years (%),,6.8
Low income and income inequality in 2020,    0 to 5 years (%),,5.8
Low income and income inequality in 2020,  18 to 64 years (%),,5.8
Low income and income inequality in 2020,  65 years and over (%),,3.7
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,212055
Low income and income inequality in 2020,  In bottom half of the distribution,,67910
Low income and income inequality in 2020,    In bottom decile,,16415
Low income and income inequality in 2020,    In second decile,,12380
Low income and income inequality in 2020,    In third decile,,12435
Low income and income inequality in 2020,    In fourth decile,,12620
Low income and income inequality in 2020,    In fifth decile,,14070
Low income and income inequality in 2020,  In top half of the distribution,,144145
Low income and income inequality in 2020,    In sixth decile,,15740
Low income and income inequality in 2020,    In seventh decile,,18535
Low income and income inequality in 2020,    In eighth decile,,22440
Low income and income inequality in 2020,    In ninth decile,,31320
Low income and income inequality in 2020,    In top decile,,56110
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,212060
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.433
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.499
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.366
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,5
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,212915
Knowledge of official languages,  English only,,184520
Knowledge of official languages,  French only,,150
Knowledge of official languages,  English and French,,23390
Knowledge of official languages,  Neither English nor French,,4855
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,212915
First official language spoken,  English,,202470
First official language spoken,  French,,3270
First official language spoken,  English and French,,2410
First official language spoken,  Neither English nor French,,4760
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,212915
Mother tongue,  Single responses,,199910
Mother tongue,    Official languages,,125220
Mother tongue,      English,,122255
Mother tongue,      French,,2970
Mother tongue,    Non-official languages,,74685
Mother tongue,      Indigenous languages,39,0
Mother tongue,        Algonquian languages,,5
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Innu languages,,0
Mother tongue,            Atikamekw,,0
Mother tongue,            Cree languages,,0
Mother tongue,              Ililimowin (Moose Cree),,0
Mother tongue,              Inu Ayimun (Southern East Cree),,0
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0
Mother tongue,              Nehinawewin (Swampy Cree),,0
Mother tongue,              Nehiyawewin (Plains Cree),,0
Mother tongue,              Nihithawiwin (Woods Cree),,0
Mother tongue,"              Cree, n.o.s.",,0
Mother tongue,            Innu (Montagnais),,0
Mother tongue,            Naskapi,,0
Mother tongue,          Eastern Algonquian languages,,0
Mother tongue,            Mi'kmaq,,0
Mother tongue,            Wolastoqewi (Malecite),,0
Mother tongue,          Ojibway-Potawatomi languages,,0
Mother tongue,            Anicinabemowin (Algonquin),,0
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ojibway languages,,0
Mother tongue,              Anishinaabemowin (Chippewa),,0
Mother tongue,              Daawaamwin (Odawa),,0
Mother tongue,              Saulteau (Western Ojibway),,0
Mother tongue,"              Ojibway, n.o.s.",,0
Mother tongue,"          Algonquian languages, n.i.e.",,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Dakelh (Carrier),,0
Mother tongue,            Dane-zaa (Beaver),,0
Mother tongue,"            Dene, n.o.s.",,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0
Mother tongue,              Satuotine Yati (North Slavey),,0
Mother tongue,"              Slavey, n.o.s.",,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tlicho (Dogrib),,0
Mother tongue,            Tse'khene (Sekani),,0
Mother tongue,            Tsilhqot'in (Chilcotin),,0
Mother tongue,            Tsuu T'ina (Sarsi),,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,"              Tutchone, n.o.s.",,0
Mother tongue,            Wetsuwet'en-Babine,,0
Mother tongue,          Tlingit,,0
Mother tongue,"          Athabaskan languages, n.i.e.",,0
Mother tongue,        Haida,,0
Mother tongue,        Inuktut (Inuit) languages,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,            Inuinnaqtun,,0
Mother tongue,            Inuvialuktun,,0
Mother tongue,          Inuktitut,,0
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0
Mother tongue,        Iroquoian languages,,0
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,0
Mother tongue,          Oneida,,0
Mother tongue,"          Iroquoian languages, n.i.e.",,0
Mother tongue,        Ktunaxa (Kutenai),,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Ntlakapamux (Thompson),,0
Mother tongue,          Secwepemctsin (Shuswap),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Syilx (Okanagan),,0
Mother tongue,"          Salish languages, n.i.e.",,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Assiniboine,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,"          Siouan languages, n.i.e.",,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwak'wala (Kwakiutl),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,"          Wakashan languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.o.s.",,0
