Topic,Characteristic,Note,Total
Family characteristics,      In a two-parent family,,55760
Family characteristics,      In a one-parent family,,13220
Family characteristics,  Total - Persons not in census families in private households - 100% data,,22640
Family characteristics,    Living alone,,12185
Family characteristics,    Living with other relatives,7,6075
Family characteristics,    Living with non-relatives only,,4380
Household type,Total - Household type - 100% data,,69315
Household type,  One-census-family households without additional persons,,46980
Household type,    Couple-family households,,40490
Household type,      With children,6,26725
Household type,      Without children,,13770
Household type,    One-parent-family households,,6490
Household type,  Multigenerational households,8,4800
Household type,  Multiple-census-family households,9,950
Household type,  One-census-family households with additional persons,9,2655
Household type,  Two-or-more-person non-census-family households ,,1750
Household type,  One-person households,,12180
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,170980
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,162470
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,36800
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,162515
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,34000
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,144590
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,31400
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,115050
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,36800
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,146390
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,7500
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,11920
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5480
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,56160
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,10000
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,170980
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,162645
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,57100
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,162700
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,45720
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,144480
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,54250
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,115050
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,56850
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,146655
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,9920
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,11690
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,6540
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,56345
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,10340
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,170980
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,53970
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,74000
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,92400
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,44350
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,14700
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,27160
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100
Income of individuals in 2020,  Market income (%),18,84.4
Income of individuals in 2020,    Employment income (%),19,70.4
Income of individuals in 2020,  Government transfers (%),20,15.7
Income of individuals in 2020,    Employment insurance benefits (%),,0.8
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,6.9
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,6.3
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,170975
Income of individuals in 2020,  Without total income,,8505
Income of individuals in 2020,  With total income,,162475
Income of individuals in 2020,"    Under $10,000 (including loss)",,19380
Income of individuals in 2020,"    $10,000 to $19,999",,22755
Income of individuals in 2020,"    $20,000 to $29,999",,26360
Income of individuals in 2020,"    $30,000 to $39,999",,18070
Income of individuals in 2020,"    $40,000 to $49,999",,13455
Income of individuals in 2020,"    $50,000 to $59,999",,10780
Income of individuals in 2020,"    $60,000 to $69,999",,8805
Income of individuals in 2020,"    $70,000 to $79,999",,7515
Income of individuals in 2020,"    $80,000 to $89,999",,6210
Income of individuals in 2020,"    $90,000 to $99,999",,5440
Income of individuals in 2020,"    $100,000 and over",,23700
Income of individuals in 2020,"      $100,000 to $149,999",,15115
Income of individuals in 2020,"      $150,000 and over",,8585
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,170975
Income of individuals in 2020,  Without after-tax income,,8460
Income of individuals in 2020,  With after-tax income,,162520
Income of individuals in 2020,"    Under $10,000 (including loss)",,20085
Income of individuals in 2020,"    $10,000 to $19,999",,23785
Income of individuals in 2020,"    $20,000 to $29,999",,28890
Income of individuals in 2020,"    $30,000 to $39,999",,19945
Income of individuals in 2020,"    $40,000 to $49,999",,15440
Income of individuals in 2020,"    $50,000 to $59,999",,12085
Income of individuals in 2020,"    $60,000 to $69,999",,9750
Income of individuals in 2020,"    $70,000 to $79,999",,7835
Income of individuals in 2020,"    $80,000 to $89,999",,7000
Income of individuals in 2020,"    $90,000 to $99,999",,4715
Income of individuals in 2020,"    $100,000 and over",,12985
Income of individuals in 2020,"      $100,000 to $124,999",,6400
Income of individuals in 2020,"      $125,000 and over",,6590
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,170975
Income of individuals in 2020,  Without employment income,,55930
Income of individuals in 2020,  With employment income,,115050
Income of individuals in 2020,"    Under $5,000 (including loss)",,18465
Income of individuals in 2020,"    $5,000 to $9,999",,11965
Income of individuals in 2020,"    $10,000 to $19,999",,12735
Income of individuals in 2020,"    $20,000 to $29,999",,8695
Income of individuals in 2020,"    $30,000 to $39,999",,8055
Income of individuals in 2020,"    $40,000 to $49,999",,7555
Income of individuals in 2020,"    $50,000 to $59,999",,6915
Income of individuals in 2020,"    $60,000 to $69,999",,6420
Income of individuals in 2020,"    $70,000 to $79,999",,5645
Income of individuals in 2020,"    $80,000 to $89,999",,4800
Income of individuals in 2020,"    $90,000 to $99,999",,4640
Income of individuals in 2020,"    $100,000 and over",,19165
Income of individuals in 2020,"      $100,000 to $124,999",,8340
Income of individuals in 2020,"      $125,000 and over",,10825
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,170980
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,157375
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,34400
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,157420
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,32000
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,141595
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,34800
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,114920
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,38400
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,136030
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1270
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,6715
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,5960
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,170980
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,157510
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,54450
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,157525
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,43800
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,142060
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,55100
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,115235
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,56950
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,136125
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,5515
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,6785
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7560
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,170980
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,53390
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,69500
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,86000
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,41370
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,21200
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,34240
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100
Income of individuals in 2019,  Market income (%),,91.2
Income of individuals in 2019,    Employment income (%),,76.6
Income of individuals in 2019,  Government transfers (%),,8.8
Income of individuals in 2019,    Employment insurance benefits (%),,0.6
Income of households in 2020,Total - Income statistics for private households - 100% data,26,69315
Income of households in 2020,  Median total income of household in 2020 ($),,102000
Income of households in 2020,  Median after-tax income of household in 2020 ($),,89000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,12180
Income of households in 2020,      Median total income of one-person households in 2020 ($),,42400
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,38400
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,57135
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,119000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,103000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,69315
Income of households in 2020,  Average total income of household in 2020 ($),,134000
Income of households in 2020,  Average after-tax income of household in 2020 ($),,107300
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,12170
Income of households in 2020,      Average total income of one-person households in 2020 ($),,61250
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,49400
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,57145
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,149600
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,119700
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,69315
Income of households in 2020,"  Under $5,000",,1085
Income of households in 2020,"  $5,000 to $9,999",,460
Income of households in 2020,"  $10,000 to $14,999",,680
Income of households in 2020,"  $15,000 to $19,999",,1105
Income of households in 2020,"  $20,000 to $24,999",,2185
Income of households in 2020,"  $25,000 to $29,999",,1660
Income of households in 2020,"  $30,000 to $34,999",,2000
Income of households in 2020,"  $35,000 to $39,999",,2045
Income of households in 2020,"  $40,000 to $44,999",,1955
Income of households in 2020,"  $45,000 to $49,999",,1950
Income of households in 2020,"  $50,000 to $59,999",,3985
Income of households in 2020,"  $60,000 to $69,999",,3920
Income of households in 2020,"  $70,000 to $79,999",,3920
Income of households in 2020,"  $80,000 to $89,999",,3625
Income of households in 2020,"  $90,000 to $99,999",,3295
Income of households in 2020,"  $100,000 and over",,35450
Income of households in 2020,"    $100,000 to $124,999",,7575
Income of households in 2020,"    $125,000 to $149,999",,6145
Income of households in 2020,"    $150,000 to $199,999",,8965
Income of households in 2020,"    $200,000 and over",,12765
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,69315
Income of households in 2020,"  Under $5,000",,1280
Income of households in 2020,"  $5,000 to $9,999",,480
Income of households in 2020,"  $10,000 to $14,999",,700
Income of households in 2020,"  $15,000 to $19,999",,1195
Income of households in 2020,"  $20,000 to $24,999",,2295
Income of households in 2020,"  $25,000 to $29,999",,1840
Income of households in 2020,"  $30,000 to $34,999",,2165
Income of households in 2020,"  $35,000 to $39,999",,2230
Income of households in 2020,"  $40,000 to $44,999",,2310
Income of households in 2020,"  $45,000 to $49,999",,2330
Income of households in 2020,"  $50,000 to $59,999",,4580
Income of households in 2020,"  $60,000 to $69,999",,4750
Income of households in 2020,"  $70,000 to $79,999",,4480
Income of households in 2020,"  $80,000 to $89,999",,4290
Income of households in 2020,"  $90,000 to $99,999",,3850
Income of households in 2020,"  $100,000 and over",,30530
Income of households in 2020,"    $100,000 to $124,999",,8340
Income of households in 2020,"    $125,000 to $149,999",,6595
Income of households in 2020,"    $150,000 and over",,15600
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,56370
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,118000
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,102000
Income of economic families in 2020,  Average family size of economic families,,3.3
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,14325
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,89000
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,78000
Income of economic families in 2020,  Average family size of couple-only economic families,,2
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,32335
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,146000
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,125000
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,7795
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,76000
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,69500
Income of economic families in 2020,  Average family size of one-parent economic families,,2.7
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,16565
Income of economic families in 2020,  Median total income in 2020 ($),30,38000
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,34800
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,56290
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,148800
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,118900
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,14350
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,117100
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,92400
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,32470
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,176800
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,141600
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,7725
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,92200
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,79400
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,16585
Income of economic families in 2020,  Average total income in 2020 ($),30,54900
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,44920
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,200930
Low income and income inequality in 2020,  0 to 17 years,,38035
Low income and income inequality in 2020,    0 to 5 years,,9265
Low income and income inequality in 2020,  18 to 64 years,,129085
Low income and income inequality in 2020,  65 years and over,,33805
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,23610
Low income and income inequality in 2020,  0 to 17 years,,4950
Low income and income inequality in 2020,    0 to 5 years,,1230
Low income and income inequality in 2020,  18 to 64 years,,13030
Low income and income inequality in 2020,  65 years and over,,5625
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,11.8
Low income and income inequality in 2020,  0 to 17 years (%),,13
Low income and income inequality in 2020,    0 to 5 years (%),,13.2
Low income and income inequality in 2020,  18 to 64 years (%),,10.1
Low income and income inequality in 2020,  65 years and over (%),,16.6
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,200925
Low income and income inequality in 2020,  0 to 17 years,,38035
Low income and income inequality in 2020,    0 to 5 years,,9265
Low income and income inequality in 2020,  18 to 64 years,,129090
Low income and income inequality in 2020,  65 years and over,,33805
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,14325
Low income and income inequality in 2020,  0 to 17 years,,3035
Low income and income inequality in 2020,    0 to 5 years,,710
Low income and income inequality in 2020,  18 to 64 years,,9085
Low income and income inequality in 2020,  65 years and over,,2205
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,7.1
Low income and income inequality in 2020,  0 to 17 years (%),,8
Low income and income inequality in 2020,    0 to 5 years (%),,7.7
Low income and income inequality in 2020,  18 to 64 years (%),,7
Low income and income inequality in 2020,  65 years and over (%),,6.5
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,200925
Low income and income inequality in 2020,  In bottom half of the distribution,,86095
Low income and income inequality in 2020,    In bottom decile,,20830
Low income and income inequality in 2020,    In second decile,,16890
Low income and income inequality in 2020,    In third decile,,16185
Low income and income inequality in 2020,    In fourth decile,,16030
Low income and income inequality in 2020,    In fifth decile,,16160
Low income and income inequality in 2020,  In top half of the distribution,,114835
Low income and income inequality in 2020,    In sixth decile,,17120
Low income and income inequality in 2020,    In seventh decile,,18190
Low income and income inequality in 2020,    In eighth decile,,20540
Low income and income inequality in 2020,    In ninth decile,,25595
Low income and income inequality in 2020,    In top decile,,33390
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,200925
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.375
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.478
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.327
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,4.6
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,201040
Knowledge of official languages,  English only,,173385
Knowledge of official languages,  French only,,90
Knowledge of official languages,  English and French,,14745
Knowledge of official languages,  Neither English nor French,,12825
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,201040
First official language spoken,  English,,184650
First official language spoken,  French,,1280
First official language spoken,  English and French,,2450
First official language spoken,  Neither English nor French,,12660
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,201040
Mother tongue,  Single responses,,188100
Mother tongue,    Official languages,,69025
Mother tongue,      English,,68035
Mother tongue,      French,,990
Mother tongue,    Non-official languages,,119075
Mother tongue,      Indigenous languages,39,0
Mother tongue,        Algonquian languages,,0
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Innu languages,,0
Mother tongue,            Atikamekw,,0
Mother tongue,            Cree languages,,0
Mother tongue,              Ililimowin (Moose Cree),,0
Mother tongue,              Inu Ayimun (Southern East Cree),,0
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0
Mother tongue,              Nehinawewin (Swampy Cree),,0
Mother tongue,              Nehiyawewin (Plains Cree),,0
Mother tongue,              Nihithawiwin (Woods Cree),,0
Mother tongue,"              Cree, n.o.s.",,0
Mother tongue,            Innu (Montagnais),,0
Mother tongue,            Naskapi,,0
Mother tongue,          Eastern Algonquian languages,,0
Mother tongue,            Mi'kmaq,,0
Mother tongue,            Wolastoqewi (Malecite),,0
Mother tongue,          Ojibway-Potawatomi languages,,0
Mother tongue,            Anicinabemowin (Algonquin),,0
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ojibway languages,,0
Mother tongue,              Anishinaabemowin (Chippewa),,0
Mother tongue,              Daawaamwin (Odawa),,0
Mother tongue,              Saulteau (Western Ojibway),,0
Mother tongue,"              Ojibway, n.o.s.",,0
Mother tongue,"          Algonquian languages, n.i.e.",,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Dakelh (Carrier),,0
Mother tongue,            Dane-zaa (Beaver),,0
Mother tongue,"            Dene, n.o.s.",,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0
Mother tongue,              Satuotine Yati (North Slavey),,0
Mother tongue,"              Slavey, n.o.s.",,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tlicho (Dogrib),,0
Mother tongue,            Tse'khene (Sekani),,0
Mother tongue,            Tsilhqot'in (Chilcotin),,0
Mother tongue,            Tsuu T'ina (Sarsi),,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,"              Tutchone, n.o.s.",,0
Mother tongue,            Wetsuwet'en-Babine,,0
Mother tongue,          Tlingit,,0
Mother tongue,"          Athabaskan languages, n.i.e.",,0
Mother tongue,        Haida,,0
Mother tongue,        Inuktut (Inuit) languages,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,            Inuinnaqtun,,0
Mother tongue,            Inuvialuktun,,0
Mother tongue,          Inuktitut,,0
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0
Mother tongue,        Iroquoian languages,,0
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,0
Mother tongue,          Oneida,,0
Mother tongue,"          Iroquoian languages, n.i.e.",,0
Mother tongue,        Ktunaxa (Kutenai),,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Ntlakapamux (Thompson),,0
Mother tongue,          Secwepemctsin (Shuswap),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Syilx (Okanagan),,0
Mother tongue,"          Salish languages, n.i.e.",,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Assiniboine,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,"          Siouan languages, n.i.e.",,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwak'wala (Kwakiutl),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,"          Wakashan languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.o.s.",,0
