Topic,Characteristic,Note,Total
Family characteristics,Total - Persons in private households - 100% data,,650165
Family characteristics,  Total - Persons in census families,,560540
Family characteristics,    Married spouses or common-law partners,,291370
Family characteristics,    Parents in one-parent families,,29505
Family characteristics,    Children,6,239665
Family characteristics,      In a two-parent family,,190215
Family characteristics,      In a one-parent family,,49455
Family characteristics,  Total - Persons not in census families in private households - 100% data,,89620
Family characteristics,    Living alone,,22140
Family characteristics,    Living with other relatives,7,32630
Family characteristics,    Living with non-relatives only,,34855
Household type,Total - Household type - 100% data,,182470
Household type,  One-census-family households without additional persons,,107805
Household type,    Couple-family households,,91145
Household type,      With children,6,67170
Household type,      Without children,,23975
Household type,    One-parent-family households,,16660
Household type,  Multigenerational households,8,26070
Household type,  Multiple-census-family households,9,5170
Household type,  One-census-family households with additional persons,9,12475
Household type,  Two-or-more-person non-census-family households ,,8815
Household type,  One-person households,,22140
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,532540
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,500240
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,36000
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,500560
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,33600
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,432390
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,31200
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,380545
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,33200
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,461840
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,7600
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,52630
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5520
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,192515
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8000
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,532540
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,500280
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,45400
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,500575
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,39040
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,432585
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,41640
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,380545
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,42720
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,461895
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,10170
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,52810
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,6600
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,192260
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9200
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,532545
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,171290
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,57600
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,65500
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,147580
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,18000
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,26120
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100
Income of individuals in 2020,  Market income (%),18,79.4
Income of individuals in 2020,    Employment income (%),19,71.6
Income of individuals in 2020,  Government transfers (%),20,20.7
Income of individuals in 2020,    Employment insurance benefits (%),,1.5
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,8.6
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,7.8
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,532545
Income of individuals in 2020,  Without total income,,32305
Income of individuals in 2020,  With total income,,500240
Income of individuals in 2020,"    Under $10,000 (including loss)",,52380
Income of individuals in 2020,"    $10,000 to $19,999",,70135
Income of individuals in 2020,"    $20,000 to $29,999",,84640
Income of individuals in 2020,"    $30,000 to $39,999",,67280
Income of individuals in 2020,"    $40,000 to $49,999",,55705
Income of individuals in 2020,"    $50,000 to $59,999",,43595
Income of individuals in 2020,"    $60,000 to $69,999",,32670
Income of individuals in 2020,"    $70,000 to $79,999",,24225
Income of individuals in 2020,"    $80,000 to $89,999",,18875
Income of individuals in 2020,"    $90,000 to $99,999",,13820
Income of individuals in 2020,"    $100,000 and over",,36925
Income of individuals in 2020,"      $100,000 to $149,999",,28645
Income of individuals in 2020,"      $150,000 and over",,8285
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,532545
Income of individuals in 2020,  Without after-tax income,,31985
Income of individuals in 2020,  With after-tax income,,500555
Income of individuals in 2020,"    Under $10,000 (including loss)",,53445
Income of individuals in 2020,"    $10,000 to $19,999",,73005
Income of individuals in 2020,"    $20,000 to $29,999",,95105
Income of individuals in 2020,"    $30,000 to $39,999",,78325
Income of individuals in 2020,"    $40,000 to $49,999",,63045
Income of individuals in 2020,"    $50,000 to $59,999",,45395
Income of individuals in 2020,"    $60,000 to $69,999",,31550
Income of individuals in 2020,"    $70,000 to $79,999",,21485
Income of individuals in 2020,"    $80,000 to $89,999",,15585
Income of individuals in 2020,"    $90,000 to $99,999",,8905
Income of individuals in 2020,"    $100,000 and over",,14700
Income of individuals in 2020,"      $100,000 to $124,999",,8975
Income of individuals in 2020,"      $125,000 and over",,5725
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,532545
Income of individuals in 2020,  Without employment income,,152000
Income of individuals in 2020,  With employment income,,380545
Income of individuals in 2020,"    Under $5,000 (including loss)",,49180
Income of individuals in 2020,"    $5,000 to $9,999",,36505
Income of individuals in 2020,"    $10,000 to $19,999",,50405
Income of individuals in 2020,"    $20,000 to $29,999",,40825
Income of individuals in 2020,"    $30,000 to $39,999",,37570
Income of individuals in 2020,"    $40,000 to $49,999",,35760
Income of individuals in 2020,"    $50,000 to $59,999",,30145
Income of individuals in 2020,"    $60,000 to $69,999",,24110
Income of individuals in 2020,"    $70,000 to $79,999",,18790
Income of individuals in 2020,"    $80,000 to $89,999",,15275
Income of individuals in 2020,"    $90,000 to $99,999",,11655
Income of individuals in 2020,"    $100,000 and over",,30340
Income of individuals in 2020,"      $100,000 to $124,999",,17440
Income of individuals in 2020,"      $125,000 and over",,12900
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,532540
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,483735
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,33200
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,483795
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,31000
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,422970
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,33200
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,376950
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,34800
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,428565
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1380
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,31940
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,5800
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,532540
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,483660
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,42360
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,483730
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,36360
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,422595
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,42480
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,376825
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,43120
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,428760
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,5890
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,31750
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,7610
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,532545
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,169110
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,53600
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,61400
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,137090
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,24200
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,31320
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100
Income of individuals in 2019,  Market income (%),,87.6
Income of individuals in 2019,    Employment income (%),,79.4
Income of individuals in 2019,  Government transfers (%),,12.3
Income of individuals in 2019,    Employment insurance benefits (%),,1.2
Income of households in 2020,Total - Income statistics for private households - 100% data,26,182470
Income of households in 2020,  Median total income of household in 2020 ($),,111000
Income of households in 2020,  Median after-tax income of household in 2020 ($),,98000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,22140
Income of households in 2020,      Median total income of one-person households in 2020 ($),,45200
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,40400
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,160335
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,120000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,106000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,182475
Income of households in 2020,  Average total income of household in 2020 ($),,124500
Income of households in 2020,  Average after-tax income of household in 2020 ($),,107100
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,22145
Income of households in 2020,      Average total income of one-person households in 2020 ($),,53850
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,45600
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,160325
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,134200
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,115600
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,182470
Income of households in 2020,"  Under $5,000",,1060
Income of households in 2020,"  $5,000 to $9,999",,515
Income of households in 2020,"  $10,000 to $14,999",,925
Income of households in 2020,"  $15,000 to $19,999",,1735
Income of households in 2020,"  $20,000 to $24,999",,2885
Income of households in 2020,"  $25,000 to $29,999",,2920
Income of households in 2020,"  $30,000 to $34,999",,2970
Income of households in 2020,"  $35,000 to $39,999",,3510
Income of households in 2020,"  $40,000 to $44,999",,4035
Income of households in 2020,"  $45,000 to $49,999",,4295
Income of households in 2020,"  $50,000 to $59,999",,9555
Income of households in 2020,"  $60,000 to $69,999",,10415
Income of households in 2020,"  $70,000 to $79,999",,11325
Income of households in 2020,"  $80,000 to $89,999",,11330
Income of households in 2020,"  $90,000 to $99,999",,11475
Income of households in 2020,"  $100,000 and over",,103530
Income of households in 2020,"    $100,000 to $124,999",,26835
Income of households in 2020,"    $125,000 to $149,999",,22610
Income of households in 2020,"    $150,000 to $199,999",,29720
Income of households in 2020,"    $200,000 and over",,24365
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,182470
Income of households in 2020,"  Under $5,000",,1155
Income of households in 2020,"  $5,000 to $9,999",,540
Income of households in 2020,"  $10,000 to $14,999",,960
Income of households in 2020,"  $15,000 to $19,999",,1820
Income of households in 2020,"  $20,000 to $24,999",,3080
Income of households in 2020,"  $25,000 to $29,999",,3250
Income of households in 2020,"  $30,000 to $34,999",,3390
Income of households in 2020,"  $35,000 to $39,999",,4160
Income of households in 2020,"  $40,000 to $44,999",,4750
Income of households in 2020,"  $45,000 to $49,999",,5135
Income of households in 2020,"  $50,000 to $59,999",,11455
Income of households in 2020,"  $60,000 to $69,999",,13140
Income of households in 2020,"  $70,000 to $79,999",,13610
Income of households in 2020,"  $80,000 to $89,999",,13845
Income of households in 2020,"  $90,000 to $99,999",,13575
Income of households in 2020,"  $100,000 and over",,88610
Income of households in 2020,"    $100,000 to $124,999",,29840
Income of households in 2020,"    $125,000 to $149,999",,22195
Income of households in 2020,"    $150,000 and over",,36575
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,157000
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,117000
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,103000
Income of economic families in 2020,  Average family size of economic families,,3.8
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,27445
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,87000
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,76500
Income of economic families in 2020,  Average family size of couple-only economic families,,2
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,99040
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,133000
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,117000
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4.5
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,22840
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,86000
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,78000
Income of economic families in 2020,  Average family size of one-parent economic families,,3
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,56990
Income of economic families in 2020,  Median total income in 2020 ($),30,30600
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,29200
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,156840
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,131000
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,112500
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,27330
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,102100
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,85700
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,99140
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,146800
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,126100
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,22785
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,97400
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,86100
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,56845
Income of economic families in 2020,  Average total income in 2020 ($),30,38240
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,33400
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,650160
Low income and income inequality in 2020,  0 to 17 years,,142845
Low income and income inequality in 2020,    0 to 5 years,,43350
Low income and income inequality in 2020,  18 to 64 years,,427705
Low income and income inequality in 2020,  65 years and over,,79620
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,41750
Low income and income inequality in 2020,  0 to 17 years,,11800
Low income and income inequality in 2020,    0 to 5 years,,3870
Low income and income inequality in 2020,  18 to 64 years,,23690
Low income and income inequality in 2020,  65 years and over,,6260
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,6.4
Low income and income inequality in 2020,  0 to 17 years (%),,8.3
Low income and income inequality in 2020,    0 to 5 years (%),,8.9
Low income and income inequality in 2020,  18 to 64 years (%),,5.5
Low income and income inequality in 2020,  65 years and over (%),,7.9
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,650165
Low income and income inequality in 2020,  0 to 17 years,,142840
Low income and income inequality in 2020,    0 to 5 years,,43350
Low income and income inequality in 2020,  18 to 64 years,,427700
Low income and income inequality in 2020,  65 years and over,,79620
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,34165
Low income and income inequality in 2020,  0 to 17 years,,5365
Low income and income inequality in 2020,    0 to 5 years,,1710
Low income and income inequality in 2020,  18 to 64 years,,26545
Low income and income inequality in 2020,  65 years and over,,2255
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,5.3
Low income and income inequality in 2020,  0 to 17 years (%),,3.8
Low income and income inequality in 2020,    0 to 5 years (%),,3.9
Low income and income inequality in 2020,  18 to 64 years (%),,6.2
Low income and income inequality in 2020,  65 years and over (%),,2.8
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,650165
Low income and income inequality in 2020,  In bottom half of the distribution,,307665
Low income and income inequality in 2020,    In bottom decile,,48505
Low income and income inequality in 2020,    In second decile,,54415
Low income and income inequality in 2020,    In third decile,,64485
Low income and income inequality in 2020,    In fourth decile,,68060
Low income and income inequality in 2020,    In fifth decile,,72200
Low income and income inequality in 2020,  In top half of the distribution,,342500
Low income and income inequality in 2020,    In sixth decile,,74515
Low income and income inequality in 2020,    In seventh decile,,75955
Low income and income inequality in 2020,    In eighth decile,,75025
Low income and income inequality in 2020,    In ninth decile,,70110
Low income and income inequality in 2020,    In top decile,,46895
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,650165
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.272
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.381
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.24
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,650820
Knowledge of official languages,  English only,,589185
Knowledge of official languages,  French only,,440
Knowledge of official languages,  English and French,,29520
Knowledge of official languages,  Neither English nor French,,31675
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,650820
First official language spoken,  English,,610630
First official language spoken,  French,,4415
First official language spoken,  English and French,,4560
First official language spoken,  Neither English nor French,,31220
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,650820
Mother tongue,  Single responses,,594935
Mother tongue,    Official languages,,283225
Mother tongue,      English,,279415
Mother tongue,      French,,3810
Mother tongue,    Non-official languages,,311710
Mother tongue,      Indigenous languages,39,5
Mother tongue,        Algonquian languages,,5
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Innu languages,,5
Mother tongue,            Atikamekw,,0
Mother tongue,            Cree languages,,5
Mother tongue,              Ililimowin (Moose Cree),,0
Mother tongue,              Inu Ayimun (Southern East Cree),,0
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0
Mother tongue,              Nehinawewin (Swampy Cree),,0
Mother tongue,              Nehiyawewin (Plains Cree),,0
Mother tongue,              Nihithawiwin (Woods Cree),,0
Mother tongue,"              Cree, n.o.s.",,5
Mother tongue,            Innu (Montagnais),,0
Mother tongue,            Naskapi,,0
Mother tongue,          Eastern Algonquian languages,,5
Mother tongue,            Mi'kmaq,,5
Mother tongue,            Wolastoqewi (Malecite),,0
Mother tongue,          Ojibway-Potawatomi languages,,0
Mother tongue,            Anicinabemowin (Algonquin),,0
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ojibway languages,,0
Mother tongue,              Anishinaabemowin (Chippewa),,0
Mother tongue,              Daawaamwin (Odawa),,0
Mother tongue,              Saulteau (Western Ojibway),,0
Mother tongue,"              Ojibway, n.o.s.",,0
Mother tongue,"          Algonquian languages, n.i.e.",,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Dakelh (Carrier),,0
Mother tongue,            Dane-zaa (Beaver),,0
Mother tongue,"            Dene, n.o.s.",,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0
Mother tongue,              Satuotine Yati (North Slavey),,0
Mother tongue,"              Slavey, n.o.s.",,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tlicho (Dogrib),,0
Mother tongue,            Tse'khene (Sekani),,0
Mother tongue,            Tsilhqot'in (Chilcotin),,0
Mother tongue,            Tsuu T'ina (Sarsi),,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,"              Tutchone, n.o.s.",,0
Mother tongue,            Wetsuwet'en-Babine,,0
Mother tongue,          Tlingit,,0
Mother tongue,"          Athabaskan languages, n.i.e.",,0
Mother tongue,        Haida,,0
Mother tongue,        Inuktut (Inuit) languages,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,            Inuinnaqtun,,0
Mother tongue,            Inuvialuktun,,0
Mother tongue,          Inuktitut,,0
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0
Mother tongue,        Iroquoian languages,,0
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,0
Mother tongue,          Oneida,,0
Mother tongue,"          Iroquoian languages, n.i.e.",,0
Mother tongue,        Ktunaxa (Kutenai),,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Ntlakapamux (Thompson),,0
Mother tongue,          Secwepemctsin (Shuswap),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Syilx (Okanagan),,0
Mother tongue,"          Salish languages, n.i.e.",,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Assiniboine,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,"          Siouan languages, n.i.e.",,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwak'wala (Kwakiutl),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,"          Wakashan languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.o.s.",,0
