Topic,Characteristic,Note,Total
Marital status,    Not married and not living common law - Separated,,2045
Marital status,    Not married and not living common law - Divorced,,3495
Marital status,    Not married and not living common law - Widowed,,3120
Family characteristics,Total - Census families in private households by family size - 100% data,5,33925
Family characteristics,  2 persons,,10395
Family characteristics,  3 persons,,7805
Family characteristics,  4 persons,,10540
Family characteristics,  5 or more persons,,5190
Family characteristics,Average size of census families,,3.4
Family characteristics,Average number of children in census families with children,6,2
Family characteristics,Total number of census families in private households - 100% data,,33925
Family characteristics,  Total couple families,,29665
Family characteristics,    Married couples,,27085
Family characteristics,      With children,6,20250
Family characteristics,      Without children,,6830
Family characteristics,    Common-law couples,,2575
Family characteristics,      With children,6,1225
Family characteristics,      Without children,,1355
Family characteristics,  Total one-parent families,,4260
Family characteristics,    in which the parent is a woman+,,3370
Family characteristics,    in which the parent is a man+,,890
Family characteristics,Total - Persons in private households - 100% data,,123090
Family characteristics,  Total - Persons in census families,,113815
Family characteristics,    Married spouses or common-law partners,,59325
Family characteristics,    Parents in one-parent families,,4260
Family characteristics,    Children,6,50230
Family characteristics,      In a two-parent family,,43115
Family characteristics,      In a one-parent family,,7120
Family characteristics,  Total - Persons not in census families in private households - 100% data,,9280
Family characteristics,    Living alone,,4670
Family characteristics,    Living with other relatives,7,2985
Family characteristics,    Living with non-relatives only,,1625
Household type,Total - Household type - 100% data,,37180
Household type,  One-census-family households without additional persons,,27550
Household type,    Couple-family households,,24435
Household type,      With children,6,18195
Household type,      Without children,,6240
Household type,    One-parent-family households,,3115
Household type,  Multigenerational households,8,2600
Household type,  Multiple-census-family households,9,480
Household type,  One-census-family households with additional persons,9,1240
Household type,  Two-or-more-person non-census-family households ,,635
Household type,  One-person households,,4670
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,92270
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,86720
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,47600
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,86765
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,42800
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,78305
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,45600
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,69640
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,49200
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,77290
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,5920
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,8445
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5720
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,27495
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8000
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,92285
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,86800
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,59500
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,86850
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,48960
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,78375
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,56950
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,69650
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,58400
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,77450
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,9060
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,8585
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,7200
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,27375
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9340
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,92285
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,37370
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,76000
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,85600
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,24765
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,17800
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,29200
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100
Income of individuals in 2020,  Market income (%),18,86.4
Income of individuals in 2020,    Employment income (%),19,78.8
Income of individuals in 2020,  Government transfers (%),20,13.6
Income of individuals in 2020,    Employment insurance benefits (%),,1.2
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,5.6
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,5
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,92270
Income of individuals in 2020,  Without total income,,5550
Income of individuals in 2020,  With total income,,86715
Income of individuals in 2020,"    Under $10,000 (including loss)",,8850
Income of individuals in 2020,"    $10,000 to $19,999",,9120
Income of individuals in 2020,"    $20,000 to $29,999",,10875
Income of individuals in 2020,"    $30,000 to $39,999",,8665
Income of individuals in 2020,"    $40,000 to $49,999",,7605
Income of individuals in 2020,"    $50,000 to $59,999",,7175
Income of individuals in 2020,"    $60,000 to $69,999",,6290
Income of individuals in 2020,"    $70,000 to $79,999",,5415
Income of individuals in 2020,"    $80,000 to $89,999",,4620
Income of individuals in 2020,"    $90,000 to $99,999",,3960
Income of individuals in 2020,"    $100,000 and over",,14135
Income of individuals in 2020,"      $100,000 to $149,999",,10205
Income of individuals in 2020,"      $150,000 and over",,3935
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,92270
Income of individuals in 2020,  Without after-tax income,,5505
Income of individuals in 2020,  With after-tax income,,86770
Income of individuals in 2020,"    Under $10,000 (including loss)",,9090
Income of individuals in 2020,"    $10,000 to $19,999",,9545
Income of individuals in 2020,"    $20,000 to $29,999",,12175
Income of individuals in 2020,"    $30,000 to $39,999",,10065
Income of individuals in 2020,"    $40,000 to $49,999",,9600
Income of individuals in 2020,"    $50,000 to $59,999",,8725
Income of individuals in 2020,"    $60,000 to $69,999",,7035
Income of individuals in 2020,"    $70,000 to $79,999",,5880
Income of individuals in 2020,"    $80,000 to $89,999",,5135
Income of individuals in 2020,"    $90,000 to $99,999",,3160
Income of individuals in 2020,"    $100,000 and over",,6370
Income of individuals in 2020,"      $100,000 to $124,999",,3655
Income of individuals in 2020,"      $125,000 and over",,2715
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,92270
Income of individuals in 2020,  Without employment income,,22630
Income of individuals in 2020,  With employment income,,69640
Income of individuals in 2020,"    Under $5,000 (including loss)",,8565
Income of individuals in 2020,"    $5,000 to $9,999",,5435
Income of individuals in 2020,"    $10,000 to $19,999",,6780
Income of individuals in 2020,"    $20,000 to $29,999",,4870
Income of individuals in 2020,"    $30,000 to $39,999",,4650
Income of individuals in 2020,"    $40,000 to $49,999",,4965
Income of individuals in 2020,"    $50,000 to $59,999",,5180
Income of individuals in 2020,"    $60,000 to $69,999",,4990
Income of individuals in 2020,"    $70,000 to $79,999",,4315
Income of individuals in 2020,"    $80,000 to $89,999",,3980
Income of individuals in 2020,"    $90,000 to $99,999",,3610
Income of individuals in 2020,"    $100,000 and over",,12290
Income of individuals in 2020,"      $100,000 to $124,999",,6145
Income of individuals in 2020,"      $125,000 and over",,6150
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,92270
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,84400
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,45600
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,84415
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,40800
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,77085
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,46000
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,69315
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,48400
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,71830
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1230
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,5980
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,6200
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,92285
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,84500
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,56250
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,84510
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,46200
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,77265
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,56500
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,69480
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,57550
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,72105
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,5380
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,6000
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,8520
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,92285
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,37110
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,71500
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,79800
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,23125
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,23600
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,35560
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100
Income of individuals in 2019,  Market income (%),,91.8
Income of individuals in 2019,    Employment income (%),,84.2
Income of individuals in 2019,  Government transfers (%),,8.2
Income of individuals in 2019,    Employment insurance benefits (%),,1.1
Income of households in 2020,Total - Income statistics for private households - 100% data,26,37180
Income of households in 2020,  Median total income of household in 2020 ($),,126000
Income of households in 2020,  Median after-tax income of household in 2020 ($),,107000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,4670
Income of households in 2020,      Median total income of one-person households in 2020 ($),,59200
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,50400
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,32510
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,135000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,115000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,37185
Income of households in 2020,  Average total income of household in 2020 ($),,138800
Income of households in 2020,  Average after-tax income of household in 2020 ($),,114300
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,4700
Income of households in 2020,      Average total income of one-person households in 2020 ($),,70500
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,56900
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,32485
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,148800
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,122600
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,37180
Income of households in 2020,"  Under $5,000",,235
Income of households in 2020,"  $5,000 to $9,999",,85
Income of households in 2020,"  $10,000 to $14,999",,150
Income of households in 2020,"  $15,000 to $19,999",,220
Income of households in 2020,"  $20,000 to $24,999",,415
Income of households in 2020,"  $25,000 to $29,999",,490
Income of households in 2020,"  $30,000 to $34,999",,435
Income of households in 2020,"  $35,000 to $39,999",,570
Income of households in 2020,"  $40,000 to $44,999",,660
Income of households in 2020,"  $45,000 to $49,999",,665
Income of households in 2020,"  $50,000 to $59,999",,1525
Income of households in 2020,"  $60,000 to $69,999",,1725
Income of households in 2020,"  $70,000 to $79,999",,1970
Income of households in 2020,"  $80,000 to $89,999",,1960
Income of households in 2020,"  $90,000 to $99,999",,2040
Income of households in 2020,"  $100,000 and over",,24030
Income of households in 2020,"    $100,000 to $124,999",,5325
Income of households in 2020,"    $125,000 to $149,999",,4945
Income of households in 2020,"    $150,000 to $199,999",,7220
Income of households in 2020,"    $200,000 and over",,6550
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,37180
Income of households in 2020,"  Under $5,000",,255
Income of households in 2020,"  $5,000 to $9,999",,95
Income of households in 2020,"  $10,000 to $14,999",,155
Income of households in 2020,"  $15,000 to $19,999",,235
Income of households in 2020,"  $20,000 to $24,999",,455
Income of households in 2020,"  $25,000 to $29,999",,555
Income of households in 2020,"  $30,000 to $34,999",,510
Income of households in 2020,"  $35,000 to $39,999",,710
Income of households in 2020,"  $40,000 to $44,999",,745
Income of households in 2020,"  $45,000 to $49,999",,805
Income of households in 2020,"  $50,000 to $59,999",,1960
Income of households in 2020,"  $60,000 to $69,999",,2295
Income of households in 2020,"  $70,000 to $79,999",,2480
Income of households in 2020,"  $80,000 to $89,999",,2700
Income of households in 2020,"  $90,000 to $99,999",,2805
Income of households in 2020,"  $100,000 and over",,20405
Income of households in 2020,"    $100,000 to $124,999",,6605
Income of households in 2020,"    $125,000 to $149,999",,5210
Income of households in 2020,"    $150,000 and over",,8590
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,32245
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,134000
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,114000
Income of economic families in 2020,  Average family size of economic families,,3.6
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,6425
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,114000
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,97000
Income of economic families in 2020,  Average family size of couple-only economic families,,2
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,21380
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,148000
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,125000
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4.3
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,3715
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,90000
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,80000
Income of economic families in 2020,  Average family size of one-parent economic families,,2.9
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,6295
Income of economic families in 2020,  Median total income in 2020 ($),30,52800
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,46400
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,32175
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,147600
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,121600
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,6380
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,126300
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,103400
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,21470
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,161600
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,132800
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,3625
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,101100
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,86500
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,6340
Income of economic families in 2020,  Average total income in 2020 ($),30,65800
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,53550
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,123095
Low income and income inequality in 2020,  0 to 17 years,,36635
Low income and income inequality in 2020,    0 to 5 years,,10640
Low income and income inequality in 2020,  18 to 64 years,,75405
Low income and income inequality in 2020,  65 years and over,,11050
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,7245
Low income and income inequality in 2020,  0 to 17 years,,2605
Low income and income inequality in 2020,    0 to 5 years,,765
Low income and income inequality in 2020,  18 to 64 years,,3705
Low income and income inequality in 2020,  65 years and over,,935
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,5.9
Low income and income inequality in 2020,  0 to 17 years (%),,7.1
Low income and income inequality in 2020,    0 to 5 years (%),,7.2
Low income and income inequality in 2020,  18 to 64 years (%),,4.9
Low income and income inequality in 2020,  65 years and over (%),,8.5
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,123090
Low income and income inequality in 2020,  0 to 17 years,,36635
Low income and income inequality in 2020,    0 to 5 years,,10640
Low income and income inequality in 2020,  18 to 64 years,,75410
Low income and income inequality in 2020,  65 years and over,,11055
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,3030
Low income and income inequality in 2020,  0 to 17 years,,1010
Low income and income inequality in 2020,    0 to 5 years,,280
Low income and income inequality in 2020,  18 to 64 years,,1785
Low income and income inequality in 2020,  65 years and over,,240
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,2.5
Low income and income inequality in 2020,  0 to 17 years (%),,2.8
Low income and income inequality in 2020,    0 to 5 years (%),,2.6
Low income and income inequality in 2020,  18 to 64 years (%),,2.4
Low income and income inequality in 2020,  65 years and over (%),,2.1
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,123095
Low income and income inequality in 2020,  In bottom half of the distribution,,46125
Low income and income inequality in 2020,    In bottom decile,,6140
Low income and income inequality in 2020,    In second decile,,7570
Low income and income inequality in 2020,    In third decile,,9385
Low income and income inequality in 2020,    In fourth decile,,10745
Low income and income inequality in 2020,    In fifth decile,,12280
Low income and income inequality in 2020,  In top half of the distribution,,76970
Low income and income inequality in 2020,    In sixth decile,,13355
Low income and income inequality in 2020,    In seventh decile,,15335
Low income and income inequality in 2020,    In eighth decile,,16525
Low income and income inequality in 2020,    In ninth decile,,17665
Low income and income inequality in 2020,    In top decile,,14085
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,123090
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.284
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.368
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.248
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,3.2
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,123245
Knowledge of official languages,  English only,,111315
Knowledge of official languages,  French only,,100
Knowledge of official languages,  English and French,,9580
Knowledge of official languages,  Neither English nor French,,2255
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,123245
First official language spoken,  English,,118355
First official language spoken,  French,,1525
First official language spoken,  English and French,,1180
First official language spoken,  Neither English nor French,,2190
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,123245
Mother tongue,  Single responses,,112405
Mother tongue,    Official languages,,68090
Mother tongue,      English,,66740
Mother tongue,      French,,1345
Mother tongue,    Non-official languages,,44320
Mother tongue,      Indigenous languages,39,0
Mother tongue,        Algonquian languages,,0
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Innu languages,,0
Mother tongue,            Atikamekw,,0
Mother tongue,            Cree languages,,0
Mother tongue,              Ililimowin (Moose Cree),,0
Mother tongue,              Inu Ayimun (Southern East Cree),,0
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,0
Mother tongue,              Nehinawewin (Swampy Cree),,0
Mother tongue,              Nehiyawewin (Plains Cree),,0
Mother tongue,              Nihithawiwin (Woods Cree),,0
Mother tongue,"              Cree, n.o.s.",,0
Mother tongue,            Innu (Montagnais),,0
Mother tongue,            Naskapi,,0
Mother tongue,          Eastern Algonquian languages,,0
Mother tongue,            Mi'kmaq,,0
Mother tongue,            Wolastoqewi (Malecite),,0
Mother tongue,          Ojibway-Potawatomi languages,,0
Mother tongue,            Anicinabemowin (Algonquin),,0
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ojibway languages,,0
Mother tongue,              Anishinaabemowin (Chippewa),,0
Mother tongue,              Daawaamwin (Odawa),,0
Mother tongue,              Saulteau (Western Ojibway),,0
Mother tongue,"              Ojibway, n.o.s.",,0
Mother tongue,"          Algonquian languages, n.i.e.",,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Dakelh (Carrier),,0
Mother tongue,            Dane-zaa (Beaver),,0
Mother tongue,"            Dene, n.o.s.",,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0
Mother tongue,              Satuotine Yati (North Slavey),,0
Mother tongue,"              Slavey, n.o.s.",,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tlicho (Dogrib),,0
Mother tongue,            Tse'khene (Sekani),,0
Mother tongue,            Tsilhqot'in (Chilcotin),,0
Mother tongue,            Tsuu T'ina (Sarsi),,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,"              Tutchone, n.o.s.",,0
Mother tongue,            Wetsuwet'en-Babine,,0
Mother tongue,          Tlingit,,0
Mother tongue,"          Athabaskan languages, n.i.e.",,0
Mother tongue,        Haida,,0
Mother tongue,        Inuktut (Inuit) languages,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,            Inuinnaqtun,,0
Mother tongue,            Inuvialuktun,,0
Mother tongue,          Inuktitut,,0
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0
Mother tongue,        Iroquoian languages,,0
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,0
Mother tongue,          Oneida,,0
Mother tongue,"          Iroquoian languages, n.i.e.",,0
Mother tongue,        Ktunaxa (Kutenai),,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Ntlakapamux (Thompson),,0
Mother tongue,          Secwepemctsin (Shuswap),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Syilx (Okanagan),,0
Mother tongue,"          Salish languages, n.i.e.",,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Assiniboine,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,"          Siouan languages, n.i.e.",,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwak'wala (Kwakiutl),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,"          Wakashan languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.i.e.",,0
Mother tongue,"        Indigenous languages, n.o.s.",,0
Mother tongue,      Non-Indigenous languages,,44320
